competency_id,batch_id,title,description,related_skills,related_skills_with_bloom,skill_focus,soft_skills_required,soft_skills_description,kkni_level,kkni_floor,kkni_descriptor,future_relevance,all_skills_human_verified,human_quality,human_relevant,human_skill_focus,human_notes,reviewer_id
C6_b99,99,Analyze and Promote Regulatory and Initiative Compliance,"Analyze regulatory requirements and business initiatives, such as BCBS 239–aligned traceability, to promote compliance and align software development processes with established standards.","[""promote initiatives such as BCBS 239–aligned traceability""]",promote initiatives such as BCBS 239–aligned traceability (Bloom: Analyze),Hard,analyze information; communicate effectively; align stakeholders; work collaboratively; think critically; understand business needs,"Analytical and communication skills are needed to interpret regulations, while stakeholder alignment ensures collaborative promotion and implementation of compliant processes.",5,5,"Mampu menyelesaikan pekerjaan berlingkup luas, memilih metode dari beragam pilihan baku/non-baku dengan menganalisis data. Menguasai konsep teoritis bidang pengetahuan tertentu secara umum, mampu memformulasikan penyelesaian masalah prosedural.","Regulatory compliance and initiative alignment are important in many industries, requiring analytical skills to ensure software processes meet evolving standards and traceability demands.",False,,,,,
C1_b68,68,Designing and Implementing Hybrid Cloud Environments,Design and implement hybrid cloud environments by selecting appropriate cloud services and infrastructure components to meet specified performance and scalability requirements.,"[""shape hybrid cloud environment""]",shape hybrid cloud environment (Bloom: Apply),Hard,collaborate with cross-functional teams; solve complex challenges; think critically; adapt to change; work independently; deliver high-quality work,"Learners need to collaborate with teams, solve problems, and adapt to changing requirements to successfully design and implement hybrid cloud solutions.",5,4,"Mampu menyelesaikan pekerjaan berlingkup luas, memilih metode dari beragam pilihan baku/non-baku dengan menganalisis data. Menguasai konsep teoritis bidang pengetahuan tertentu secara umum, mampu memformulasikan penyelesaian masalah prosedural.","Hybrid cloud adoption is growing as organizations seek flexibility and optimized resource allocation, making skills in designing and managing these environments critical for future infrastructure roles.",False,,,,,
C2_b106,106,Digital Conversion Strategy Implementation,Apply strategies to drive higher conversion rates in digital platforms by implementing tested techniques and measuring outcomes against set criteria.,"[""drive higher conversion""]",drive higher conversion (Bloom: Apply),Hard,analyze data; communicate effectively; adapt to change; work collaboratively; understand business needs,"Learners must analyze data to inform strategies, communicate findings, and adapt to changing digital trends while collaborating to meet business objectives.",4,4,Mampu menyelesaikan tugas berlingkup luas dan kasus spesifik dengan menganalisis informasi secara terbatas dan memilih metode dari beberapa pilihan baku. Menguasai beberapa prinsip dasar bidang keahlian tertentu.,"This competency remains relevant for digital marketing and e-commerce roles, supporting business growth through effective conversion optimization in evolving online environments.",False,,,,,
C4_b20,20,Build and Manage Data Stores,"Build, operate, and manage data stores and databases in Linux environments by implementing storage solutions, ensuring efficient operation, and simplifying management tasks for developers.","[""build data stores"", ""operate data stores"", ""run databases in Linux environment"", ""make database management effortless"", ""allow developers to monitor databases"", ""allow developers to spin up databases""]",build data stores (Bloom: Create); operate data stores (Bloom: Evaluate); run databases in Linux environment (Bloom: Apply); make database management effortless (Bloom: Apply); allow developers to monitor databases (Bloom: Create); allow developers to spin up databases (Bloom: Create),Hard,solve problems; work collaboratively; communicate effectively; manage time; mentor junior staff,"Problem-solving and collaboration are essential for maintaining database systems, while effective communication supports developer assistance and knowledge sharing.",7,7,"Mampu merencanakan dan mengelola sumberdaya, mengevaluasi kerjanya secara komprehensif untuk menghasilkan langkah-langkah pengembangan strategis organisasi. Memecahkan permasalahan melalui pendekatan monodisipliner. Mampu melakukan riset dan mengambil keputusan strategis dengan akuntabilitas penuh.","Efficient data storage management remains crucial for application performance and developer productivity, especially with the growth of data-intensive applications.",False,,,,,
C2_b43,43,Analyze and Maintain Performance Tracking Databases,"Analyze and maintain activity tracking databases to store and organize performance metrics, conversion data, and iteration history by applying data modeling and database management principles.","[""maintain activity tracking databases"", ""track conversion metrics"", ""track iteration history"", ""track your own performance""]",maintain activity tracking databases (Bloom: Analyze); track conversion metrics (Bloom: Apply); track iteration history (Bloom: Apply); track your own performance (Bloom: Apply),Hard,work independently; manage time; deliver high-quality work; think critically; solve problems,Independent work and time management are essential for maintaining accurate databases that support ongoing performance analysis.,5,5,"Mampu menyelesaikan pekerjaan berlingkup luas, memilih metode dari beragam pilihan baku/non-baku dengan menganalisis data. Menguasai konsep teoritis bidang pengetahuan tertentu secara umum, mampu memformulasikan penyelesaian masalah prosedural.","Data-driven decision-making relies on accurate and accessible performance data, making database management for tracking a foundational skill across industries.",False,,,,,
C2_b63,63,Video Content Production and Editing,"Create and edit professional-quality video content by planning shoots, capturing footage, and applying post-production techniques to produce finished videos for digital platforms.","[""capture video content"", ""edit video content"", ""produce high-quality video content""]",capture video content (Bloom: Remember); edit video content (Bloom: Apply); produce high-quality video content (Bloom: Create),Hard,deliver high-quality work; manage time; work independently; solve problems; adapt to change,Producing high-quality work requires time management and independent problem-solving to overcome technical challenges during the production process.,7,7,"Mampu merencanakan dan mengelola sumberdaya, mengevaluasi kerjanya secara komprehensif untuk menghasilkan langkah-langkah pengembangan strategis organisasi. Memecahkan permasalahan melalui pendekatan monodisipliner. Mampu melakukan riset dan mengambil keputusan strategis dengan akuntabilitas penuh.","Video remains a dominant medium for communication and entertainment; skilled production is crucial for careers in digital media, marketing, and interactive applications.",False,,,,,
C6_b13,13,Contribute to Design Systems,Contribute to and assist in building design systems by participating in design work and following established patterns to ensure consistency across digital products.,"[""assist in building a design system"", ""contribute to design system"", ""participate in design work""]",assist in building a design system (Bloom: Create); contribute to design system (Bloom: Create); participate in design work (Bloom: Create),Hard,collaborate with team; work closely with developers; adapt to change; grow professionally; deliver high-quality work; communicate ideas,"Learners must collaborate with developers and designers, adapt to system guidelines, and communicate ideas to contribute effectively to design systems.",7,7,"Mampu merencanakan dan mengelola sumberdaya, mengevaluasi kerjanya secara komprehensif untuk menghasilkan langkah-langkah pengembangan strategis organisasi. Memecahkan permasalahan melalui pendekatan monodisipliner. Mampu melakukan riset dan mengambil keputusan strategis dengan akuntabilitas penuh.",Design systems are crucial for maintaining visual and functional consistency at scale in large organizations and product suites.,False,,,,,
C6_b112,112,Optimize Digital Platforms and Conversion Funnels,Analyze and optimize digital platforms and conversion funnels by applying data-driven techniques to improve user engagement and achieve business objectives.,"[""optimise the funnel""]",optimise the funnel (Bloom: Apply),Hard,analyze data; solve problems; communicate ideas; work collaboratively; understand business needs,"Data analysis and problem-solving identify optimization opportunities, while communication and collaboration align efforts with business goals.",5,4,"Mampu menyelesaikan pekerjaan berlingkup luas, memilih metode dari beragam pilihan baku/non-baku dengan menganalisis data. Menguasai konsep teoritis bidang pengetahuan tertentu secara umum, mampu memformulasikan penyelesaian masalah prosedural.","Digital optimization remains important for e-commerce and online services, supporting growth through improved user experience and operational efficiency.",False,,,,,
C1_b128,128,Software System Reliability and Operational Support,"Apply operational procedures for software systems by participating in scheduled on-call rotations, monitoring system health, and executing documented response protocols to maintain service availability.","[""participate in on-call rotation""]",participate in on-call rotation (Bloom: Apply),Hard,work independently; manage time; adapt to change; solve problems; deliver high-quality work,These skills enable learners to respond effectively to unexpected system issues under pressure while maintaining reliable service.,4,4,Mampu menyelesaikan tugas berlingkup luas dan kasus spesifik dengan menganalisis informasi secara terbatas dan memilih metode dari beberapa pilihan baku. Menguasai beberapa prinsip dasar bidang keahlian tertentu.,"As software systems become more critical and complex, the ability to ensure their continuous operation and rapid recovery from incidents remains a foundational requirement for modern development and operations roles.",False,,,,,
C1_b131,131,Frontline Visitor Engagement and Support,"Apply established protocols to manage initial visitor interactions by greeting, identifying needs, and directing them to appropriate resources or personnel.","[""serve as first point of contact for visitors""]",serve as first point of contact for visitors (Bloom: Apply),Hard,communicate effectively; adapt to change; work independently; manage time; understand business needs,"Effective communication and time management are needed to handle inquiries promptly, while adaptability ensures appropriate responses to varied visitor needs.",4,4,Mampu menyelesaikan tugas berlingkup luas dan kasus spesifik dengan menganalisis informasi secara terbatas dan memilih metode dari beberapa pilihan baku. Menguasai beberapa prinsip dasar bidang keahlian tertentu.,"This competency remains foundational for roles requiring human-centered service and interface management, even as digital interactions increase, ensuring organized and professional first impressions.",False,,,,,
