gold_id,job_id,skill,type,bloom,confidence_score,confidence_tier,source,semantic_density,context_agreement,is_overlap,is_correct,type_label,bloom_label,labeler_id,notes
gs_cd4aa6cb67c6,in-1f3c8a0888cf8271,innovate on a daily basis,Soft,,0.599,Medium Low,LLM,0.73,0.9,False,,,,,
gs_b3923c014a83,in-d66bb098d58f5153,materials,Hard,Apply,0.51,Medium Low,BERT (standalone),0.87,0.85,False,,,,,
gs_f23b5752ceb0,in-7d8b171459af64a1,proactively seek resolution via contractors,Soft,,0.598,Medium Low,BERT+LLM,0.8,0.95,False,,,,,
gs_358fba5c9647,in-6587e8a65d66f753,integrate embedded systems,Hard,Create,0.678,Medium,LLM,0.84,0.9,False,,,,,
gs_33a926dfdd47,in-1807f3c067f5dab8,diagnose performance issues,Hard,Analyze,0.78,Medium High,LLM,0.85,0.99,False,,,,,
gs_a28597362aef,in-d1dca21abe5894bb,research,Hard,Remember,0.485,Low,BERT (standalone),0.84,0.86,False,,,,,
gs_2ad7c599676e,in-8d5904f4d826dcc6,broad,Hard,Apply,0.3,Very Low,BERT (standalone),0.75,0.84,False,,,,,
gs_b304bfe68d8c,in-f6f6cc0a0d8579e0,build and deploy production AI systems,Hard,Create,0.696,Medium,LLM,0.77,0.9,False,,,,,
gs_f4d2267688a6,in-19253252548c9213,devise complex solutions,Hard,Create,0.749,Medium High,LLM,0.82,0.96,False,,,,,
gs_cac8fd08bb3a,in-a3dba978c797dd2a,ensure adherence to best practices,Hard,Analyze,1.0,Very High,BERT+LLM,0.79,1.31,True,,,,,
gs_f4698c0e4cfd,in-6a5c9e5ec620d1bb,growth opportunities.,Hard,Apply,0.464,Low,BERT (standalone),0.9,0.84,False,,,,,
gs_e98da12312bf,in-a5286137962d1ce9,deliver flyers and door hangers,Hard,Apply,0.727,Medium High,BERT+LLM,0.78,0.97,False,,,,,
gs_3dac39fef03d,in-585dbe395ce02482,mentorship,Hard,Apply,0.402,Low,BERT (standalone),0.9,0.84,True,,,,,
gs_20792707f368,in-52aa44c2a0724681,grow career,Soft,,0.621,Medium,LLM,0.75,0.93,False,,,,,
gs_53ae1f2aa326,in-dc0cdbc7cba30891,halls,Hard,Apply,0.468,Low,BERT (standalone),0.75,0.84,False,,,,,
gs_6357cafb2cec,in-1cae99d043b234d9,Raise awareness by,Hard,Apply,0.473,Low,BERT (standalone),0.76,0.84,False,,,,,
gs_82f2199221d2,in-4c6a6379115eee90,provide direct patient care,Hard,Apply,0.59,Medium Low,LLM,0.78,0.9,False,,,,,
gs_ea01aab56fec,in-7384d54b685c8fc3,build positive relationships,Soft,,0.714,Medium High,LLM,0.86,0.96,False,,,,,
gs_c48f492162e8,in-28d1b2a35e48dce4,shape team culture,Soft,,1.0,Very High,BERT+LLM,0.76,1.28,True,,,,,
gs_e9e16113136e,in-9246e0860dd97aa0,quality solutions,Hard,Apply,0.483,Low,BERT (standalone),0.84,0.84,True,,,,,
gs_7f99ea3dd358,in-cf6f17e1ebb3d695,manage project work,Soft,,0.645,Medium,LLM,0.77,0.96,False,,,,,
gs_d4902560c91e,in-1bafb74b2b31342f,enthusiasm,Hard,Apply,0.465,Low,BERT (standalone),0.9,0.84,False,,,,,
gs_c947b69e98b6,in-83bdb27f123a533e,Archives,Hard,Apply,0.461,Low,BERT (standalone),0.84,0.82,False,,,,,
gs_b67cb25c8df8,in-9511613d07995d87,contribute to a culture,Hard,Apply,0.437,Low,BERT (standalone),0.75,0.85,False,,,,,
gs_0da127c29a49,in-1ac859bc7a2fd2e2,continuously improving,Hard,Apply,0.415,Low,BERT (standalone),0.9,0.83,False,,,,,
gs_5b6dda7e26ca,in-f325d4a055f8c9ad,develop Java-based applications,Hard,Create,1.0,Very High,LLM,0.89,1.27,False,,,,,
gs_599187d8e282,in-8ef915b5e02202bb,maintain Salesforce Commerce Cloud websites,Hard,Analyze,0.718,Medium High,LLM,0.83,0.95,True,,,,,
gs_5377591c71d8,in-d95f9144731817cc,work on a mezzanine,Hard,Apply,0.613,Medium,LLM,0.72,0.95,False,,,,,
gs_cd39564f11b4,in-363ad4ae224cf7e5,traduire les objectifs commerciaux en une stratégie de données,Hard,Apply,0.565,Medium Low,LLM,0.78,0.9,False,,,,,
