knowledge,freq,mean_confidence,confidence_score,job_id,source,best_future_domain,trend_label,trend_score,similarity,future_weight,job_text,review_id,human_valid,human_notes,reviewer_id
CLI tools,1,0.75,0.75,in-431768e5d2264d2d,LLM,Routine Maintenance Coding,Decline,-0.3,0.3403449,-0.1021034717559814,"Familiarity with React Native, related tools (Metro, Hermes), and bridging between JavaScript and native code.
Refactoring and upgrading the codebase to pay down tech debt, keep up with the state of the art in web development, and drive progress toward better maintainability.
What you have: 3 + years of working with JavaScript tools and the Node.js ecosystem.
Familiarity with and a desire to work across multiple programming languages (generally including JavaScript/TypeScript, Python, Rust, Kotlin, Go, and Swift).
Relocation assistance may be available.The US base salary range for this full -time position is $196,000 to $220,500 + equity + benefits.
Candidates must reside in or be willing to relocate to the San Francisco Bay Area (Alameda, Contra Costa, Marin, Napa, San Francisco, San Mateo, Santa Clara, Solano, and Sonoma counties).
Experience with CI/CD orchestration, Cloudflare workers, cloud storage providers, and other application deployment processes.
Experience developing and maintaining CLI tools and packages in JavaScript.
A strong sense for writing maintainable code and deliberately documenting for the future.
Understanding of all of the tools involved in frontend development and how they work together.
Bonus Points: Familiarity and experience with localization in frontend applications.
Digging deep into bundlers, linters, formatters, editor plugins, and more to optimize their performance, adopt and test new features early on, and continuously improve the experience for the developers using them.
Experience with directly maintaining or writing plugins for tools like bundlers, linters, or formatters in any language.
Writing new and unique tools based on the specific needs of Discord’s frontend projects to make everything Just Work.
Becoming an expert in JavaScript tooling and serving as a resource to help teams solve any and all problems they encounter during development.
What You'll Be Doing: Building and maintaining the tools, pipelines, and processes that keep frontend development at Discord fast, safe, and reliable.
As a Senior Software Engineer on this team, you will continuously improve our build tooling, developer workflows, and infrastructure - affecting the productivity of every frontend engineer at Discord and ultimately every user interaction on the platform!
This team also owns the localization and translation systems that power the strings and copy found across all of our apps and platforms.
Through developing and operating foundational JavaScript build systems - including linters, bundlers, package managers, and CI/CD automation - our work allows internal developers to ship features quickly and safely while ensuring optimal performance, correctness, and developer ergonomics.
These systems support hundreds of engineers daily, process thousands of builds and deployments, and enable rapid feature delivery through robust tooling infrastructure.
We are focused on making it easier and more fun for people to talk and hang out before, during, and after playing games.Our Web Platform team is responsible for building and maintaining the critical systems that power Discord's frontend development across web, desktop, and mobile platforms.",know_52a3a325cd7b,,,
platform reliability,1,0.75,0.75,in-a2a8769491dd2881,LLM,Legacy Web Development,Decline,-0.4,0.29525167,0.0,"Our Build department brings together engineering, product, and design to create the most trusted and effective crisis care platform in the industry.
Together, we are building technology that enables safe, reliable crisis conversations, empowers global affiliates to operate support services, and advances a services - and API -first architecture that integrates data and predictive insights across the platform. # The Role We are seeking an exceptional Senior Engineering Manager to lead the Conversation Applications Team (CAT) — the team responsible for the systems that power real -time crisis conversations.
TXamTkFfMd
Our technology powers life -saving crisis support across the U.S. and around the world, connecting people to trained counselors when they need help most.
# Who We Are At Crisis Text Line, our mission is to promote mental well -being for people wherever they are.
Starting salary will vary by location, qualifications, and prior experience; during the interview process, candidates will learn the starting salary range applicable for their location.
We pay competitively in the tech -forward nonprofit space and offer a robust benefits package. Benefits & Well -Being Crisis Text Line recognizes that we are all unique human beings with unique life circumstances, and our benefits package aims to be as flexible as possible to support your needs as you work to promote mental well -being for people, wherever they are.
Our benefits package is thoughtfully designed using an equity lens, with input from our team and from industry best practices.
This leader will guide the evolution of our Crisis Care Platform, helping transition legacy PHP services to Go -based systems, while strengthening our API -first architecture, platform reliability, observability, and engineering delivery practices.
Own the technology strategy and develop a plan to modernize core platform services (PHP Go), defining service boundaries, architectural patterns, and dependency sequencing across the CTL platform, volunteer management lifecycle, and other core services. Shipping Features - Own the execution and delivery of client -facing features by leading an engineering team committed to quality, velocity, and customer impact.",know_fe1a14fcf17e,,,
Apache Flink,1,0.75,0.75,in-366ed5fb266e1ee3,LLM,Legacy Web Development,Decline,-0.4,0.24702409,0.0,"May telecommute.
Uphold high standards for code quality, documentation, and platform usability.
Support teammates through design reviews, code reviews, and technical mentorship.
Employer: Uber Technologies, Inc. Job Title: Software Engineer Job Location: San Francisco, California Job Type: Full Time Rate of Pay: $167,000 to $204,000 per year You will be eligible to participate in Uber's bonus program, and may be offered other types of comp.
Position Requires: Software backend development; Programming languages such as Go, Java, C, C + +, or Python; Developing or operating distributed systems; Building monitoring systems; Big data infrastructure tools and software such as Spark, HDFS, or Yarn; Real -time streaming technology such as Apache Flink; Cloud Services such as OCI, AWS, or Azure; Open Source Data Lake technologies such as Apache Iceberg, Apache Hudi, or DeltaLake
More details can be found at the following link https: www.uber.com/careers/benefits . Duties: Develop, test, and deploy high -performance, reliable, and maintainable data ingestion and movement systems to accelerate the availability of data for analytical and operational needs.
Enhance platform performance and scalability through thoughtful design and automation.
Implement robust observability, monitoring, and alerting to ensure system health and operational excellence.
Employer will accept a Bachelor's degree in Computer Science, Engineering (Any), Information Technology, Mathematics, Physics, or related field and 2 years of experience in the job offered or in a related occupation.
Work closely with stakeholders and partner teams to ensure seamless integration and compatibility across various backend systems and data sources.",know_d114b099d78d,,,
compliance audits,1,0.75,0.75,in-120cae709fd91b6b,LLM,Routine Data Entry & Clerical,Decline,-0.6,0.28403166,0.0,"Manage the scheduling of all BWOF and compliance audits along with maintenance of our internal management platform (BICS).
We see the world through a Future Ready® lens, fuelled by a shared commitment to making a positive impact—one project and community at a time. Compliance Consultant - IQP, Auckland We have an excellent opportunity for a Building Compliance Consultant to join our talented Property team in Auckland.
You will play a key role in processing the day -to -day delivery of the Building Warrant of Fitness work streams for Auckland, Hamilton, Wellington, and Christchurch offices for key clients across Aotearoa.",know_0bb1a3afad59,,,
foundational libraries,1,0.75,0.75,in-6953506b6f0d8ecb,LLM,Legacy Web Development,Decline,-0.4,0.32788906,-0.1311556220054626,"Apple’s Enterprise team is looking for an innovative and passionate Platform Engineer to join our growing Enterprise team.
We’ve got big ambitions and your work will be instrumental to realizing them and delivering great products to our users.
You will have the opportunity to work with other teams from across the company, across a variety of disciplines, while delivering functionality that millions of our customers depend on.
We are looking for a deeply capable engineer who has a strong background in cloud -based infrastructures and who has built high -performance, scalable, and extensible systems.
You can learn more about our products at: https: www.apple.com/business/ Description Consider joining our team and crafting the software for some of our most impactful products and services.
As a Platform Engineer, you will be in a highly dynamic role that employs your expertise in software engineering, infrastructure, DevOps, and SRE, to support our Product Engineering teams and our customers.
Our team’s mission is simple: help people work together -and with our devices -at scale, whether that means a school district, a small business, or a Fortune 500 company.
Our Platform Team focuses on excellence in architecture, consistent foundational libraries, platform product features, and developer efficiency.
You will participate in building complex software in accordance with project requirements, design, and Apple’s commitment to privacy and security.",know_46b53652efdb,,,
web platforms,1,0.75,0.75,in-6a0c6e81b38e7258,LLM,Legacy Web Development,Decline,-0.4,0.4914375,-0.1965749979019165,"You’ll apply basic principles, theories, and concepts to assist in building a design system and work on a team aiming to improve the user experience across web platforms while solving complex challenges.
UX/UI Designer, MidThe Opportunity: You know that a good tool, system, or site is more than just the code, infrastructure, and a nice -looking interface – it’s the way it addresses a user’s needs.
We’re looking for someone creative like you to work with a team of SMEs, developers, and designers to craft the ultimate UX.
In this role, you’ll research, design, and prototype the look and feel of digital products, making them more intuitive, easy to use, and aesthetically pleasing for the user.",know_304db2483b88,,,
box assemblies,1,0.75,0.75,in-e26b52256be0f85c,LLM,Legacy Web Development,Decline,-0.4,0.24378951,0.0,"Engineering 2 is a core role at Creation Technologies, focused on executing moderately complex to complex engineering tasks required in the creation, configuration and optimization of industrial processes required to produce and/or test Circuit Card Assemblies (CCAs) and/or box assemblies.
We're committed to bringing passion and customer focus to the business.
It's fun to work in a company where people truly BELIEVE in what they're doing!
It’s a role that combines hands -on experience with professional growth and a pathway for further career in advancement in the field.
This role executes engineering activities within the engineering team with the support of Engineering Management.
Canada: Title for the position will be in accordance with applicable national and local laws.
All information related to accommodation requests will be handled confidentially.
If you are contacted regarding the position, please inform our Talent Acquisition team of any accommodations you may need during the recruiting process.
You will be connected with our Talent Acquisition team.
This intermediate -level engineering position is crucial for those continuing their career in electronics manufacturing services, providing an opportunity to apply theoretical knowledge in a practical setting while deepening several areas of subject matter expertise while adhering to industry standards and practices.
This is not a guarantee of compensation or salary, as a final offer amount may vary based on factors including but not limited to experience, education, location, and shift. #HPIf you like wild growth and working with happy, enthusiastic over -achievers, you'll enjoy your career with us! Creation Technologies is an equal opportunity/affirmative action employer.
Full -time employees are also eligible for performance -based bonuses and benefits.
Deals with complex escalated issues as necessary. Engages in the documentation of manufacturing processes and procedures, ensuring accurate records and adherence to protocols. Maintains and/or troubleshoots the equipment, tools and tooling necessary for electronic manufacturing processes, minimizing downtime, and maintaining production efficiency.
DUTIES AND RESPONSIBILITIES include, but not limited to: Engages in the setup and process readiness of manufacturing processes, including equipment & tooling, while ensuring optimal performance and adherence to safety standards. Demonstrates a good understanding of electronics principles and manufacturing services processes. Executes standard engineering projects and tasks, including prototype projects, and performs technical work within the engineering team, ensuring compliance with quality standards and that products meet customer required specifications and standards.
If you require any accommodations to complete the application process or need the job posting in an alternative format, please email Accessibility@creationtech.com.",know_1bcdb03c7b52,,,
SEO,1,0.75,0.75,in-bbad41219cc740ed,LLM,Legacy Web Development,Decline,-0.4,0.26984838,0.0,"We’re hiring a passionate Growth Marketing individual to drive increased user acquisition, activation, retention, and monetization for Eleven Music.
You’ll play a key role in developing and scaling the product’s growth in markets globally, including user acquisition, paid marketing, SEO and ASO, lifecycle marketing (email/push), internationalization, and subscription campaigns.
You will work cross -functionally with Growth, Engineering, and Partnerships teams to deliver growth outcomes.
As a data -driven team, you’ll develop data analyses to better inform marketing strategies, understand users, and drive lasting growth. Requirements - We're looking for an exceptional individual who combines technical excellence with ethical awareness and high organizational skills, who are excited by hard problems and motivated by human impact.
Bonus You have a background in scaling consumer apps Requirements - This role is remote and can be executed globally.
It’s the platform where artists, creators, and music lovers turn ideas into professional -quality songs, and release them to listeners worldwide.
You’ll thrive on our team if you: Have experience building and scaling consumer products from the ground up. Are a highly motivated and driven individual with a strong work ethic. Are passionate about AI combined with consumer apps, audio, music, and media. Are analytical, efficient, and strive on solving complex challenges with a first principles mindset. Consistently strive for excellence, delivering high -quality work quickly and exceeding expectations. Take initiative and work autonomously from day one, prioritizing learning and contribution while leaving ego aside.",know_d88946b678e4,,,
Apache Iceberg,1,0.75,0.75,in-366ed5fb266e1ee3,LLM,Legacy Web Development,Decline,-0.4,0.17121476,0.0,"May telecommute.
Uphold high standards for code quality, documentation, and platform usability.
Support teammates through design reviews, code reviews, and technical mentorship.
Employer: Uber Technologies, Inc. Job Title: Software Engineer Job Location: San Francisco, California Job Type: Full Time Rate of Pay: $167,000 to $204,000 per year You will be eligible to participate in Uber's bonus program, and may be offered other types of comp.
Position Requires: Software backend development; Programming languages such as Go, Java, C, C + +, or Python; Developing or operating distributed systems; Building monitoring systems; Big data infrastructure tools and software such as Spark, HDFS, or Yarn; Real -time streaming technology such as Apache Flink; Cloud Services such as OCI, AWS, or Azure; Open Source Data Lake technologies such as Apache Iceberg, Apache Hudi, or DeltaLake
More details can be found at the following link https: www.uber.com/careers/benefits . Duties: Develop, test, and deploy high -performance, reliable, and maintainable data ingestion and movement systems to accelerate the availability of data for analytical and operational needs.
Enhance platform performance and scalability through thoughtful design and automation.
Implement robust observability, monitoring, and alerting to ensure system health and operational excellence.
Employer will accept a Bachelor's degree in Computer Science, Engineering (Any), Information Technology, Mathematics, Physics, or related field and 2 years of experience in the job offered or in a related occupation.
Work closely with stakeholders and partner teams to ensure seamless integration and compatibility across various backend systems and data sources.",know_04dc684d4854,,,
platform design,1,0.75,0.75,in-acd852647e0ad998,LLM,Legacy Web Development,Decline,-0.4,0.37563843,-0.1502553701400757,"It's the diversity of those people and their ideas that supports the innovation that runs through everything we do, from amazing technology to industry -leading environmental efforts.
You will closely work with partners to gather requirements, develop scalable software, build tools, dashboards and platform that will be used inside/outside the team.
You'll be joining a team of elite engineers and interacting on a daily basis with teams that span across Apple including iOS software and hardware engineering, Apple Online Store and Apple Retail. Description We are looking for a Full Stack Engineer who works cross -functionally with architecture, platform design, and engineering teams, to understand needs of our end customers often before they do.
The Mobile Apps & Messaging Platforms team is responsible for delivering iOS apps that globally set the standard for customer experience and showcase Apple's revolutionary hardware and iOS technologies.
The people here at Apple don't just build products - we craft the kind of wonder that's revolutionized entire industries.",know_bb949cf45faa,,,
