cluster_id,stream,method,n_items,n_unique_jobs,n_skill_items,n_knowledge_items,cohesion_score,cohesion_std,summary_label,top_terms
cluster_h0000,hard_plus_knowledge,hdbscan,6,4,2,4,0.8863,0.0629,compliance compliance regulatory: ensure,compliance | regulatory | ensure | regulatory compliance | compliance compliance | compliance regulatory | compliance compliance regulatory | compliance regulatory compliance
cluster_h0001,hard_plus_knowledge,agglomerative_split,23,18,0,23,0.6536,0.1154,"chain financial services: commerce, e-commerce",financial | chain | commerce | e-commerce | finance | chain financial | commerce finance | finance financial | chain financial services | commerce finance financial
cluster_h0002,hard_plus_knowledge,agglomerative_split,15,12,0,15,0.7601,0.0846,"aws cloud infrastructure: azure, devops",cloud | azure | aws | devops | infrastructure | aws cloud | azure azure | cloud cloud | aws cloud infrastructure | azure azure devops
cluster_h0003,hard_plus_knowledge,agglomerative_split,13,13,0,13,0.7691,0.0668,"civil engineering electrical: mechanical, data",engineering | civil | electrical | mechanical | data | engineering civil | engineering data | engineering electrical | civil engineering electrical | data engineering civil
cluster_h0004,hard_plus_knowledge,agglomerative_split,60,36,0,60,0.6466,0.0574,"ai platforms android: api, cybersecurity",android | api | cybersecurity | defence | fusion | api rest | cybersecurity observability | defence fusion | ai platforms android | api rest ai
cluster_h0005,hard_plus_knowledge,agglomerative_split,54,43,16,38,0.6648,0.0664,"accounting power bi: documentation, requirements",documentation | requirements | accounting | analytics | bi | accounting power | analysis accounting | analytics utilities | accounting power bi | analysis accounting power
cluster_h0006,hard_plus_knowledge,agglomerative_split,27,22,0,27,0.7437,0.0813,"ai ai/ml generative: artificial, intelligence",artificial | intelligence | learning | ai | ai/ml | artificial intelligence | ai ai/ml | ai artificial | ai ai/ml generative | ai artificial intelligence
cluster_h0007,hard_plus_knowledge,agglomerative_split,28,23,8,20,0.6355,0.1014,"ai-enabled workflows automation: architecture, systems",architecture | systems | automation | distributed | workflows | distributed systems | architecture distributed | architecture event-driven | ai-enabled workflows automation | architecture distributed systems
cluster_h0008,hard_plus_knowledge,hdbscan,8,4,0,8,0.7394,0.0851,"javascript react native: js, node",javascript | js | native | node | react | javascript react | js javascript | node js | javascript react native | js javascript react
cluster_h0009,hard_plus_knowledge,agglomerative_split,19,13,0,19,0.6010,0.0385,"devops git kubernetes: docker, gcp",docker | gcp | git | kubernetes | terraform | devops git | docker devops | gcp docker | devops git kubernetes | docker devops git
cluster_h0010,hard_plus_knowledge,agglomerative_split,20,19,4,16,0.5271,0.0668,"apis powershell embedded: autocad, code",apis | autocad | code | dashboards | embedded | apis powershell | autocad typescript | c autocad | apis powershell embedded | build dashboards participate
cluster_h0011,hard_plus_knowledge,agglomerative_split,45,42,13,32,0.5313,0.0656,"agile methodologies quality: change, cnc",agile | change | cnc | drive | gaming | gaming cnc | innovation provide | issues microphones | agile methodologies quality | change management revit
cluster_s0000,soft_skill,hdbscan,25,23,25,0,0.7559,0.0946,"collaborate team work: cross-functional, teams",collaborate | cross-functional | team | teams | collaboratively | cross-functional teams | collaboratively work | team collaborate | collaborate team work | collaboratively work independently
cluster_s0001,soft_skill,hdbscan,26,16,26,0,0.7191,0.0509,"adapt change think: communicate, solve",communicate | solve | adapt | ambiguity | challenges | ambiguity communicate | challenges grow | change think | adapt change think | ambiguity communicate ideas
cluster_s0002,soft_skill,agglomerative_recovery,14,13,14,0,0.6033,0.0520,"business needs deliver: closely, data",closely | business | data | deliver | developers | work closely | developers work | engineers work | business needs deliver | closely stakeholders manage
