cluster_id,stream,method,n_items,n_unique_jobs,cohesion_score,summary_label,top_terms
cluster_h0000,hard_plus_knowledge,hdbscan,6,4,0.8863,compliance compliance regulatory: ensure,compliance | regulatory | ensure | regulatory compliance | compliance compliance | compliance regulatory | compliance compliance regulatory | compliance regulatory compliance
cluster_h0001,hard_plus_knowledge,agglomerative_split,23,18,0.6536,"chain financial services: commerce, e-commerce",financial | chain | commerce | e-commerce | finance | chain financial | commerce finance | finance financial | chain financial services | commerce finance financial
cluster_h0002,hard_plus_knowledge,agglomerative_split,15,12,0.7601,"aws cloud infrastructure: azure, devops",cloud | azure | aws | devops | infrastructure | aws cloud | azure azure | cloud cloud | aws cloud infrastructure | azure azure devops
cluster_h0003,hard_plus_knowledge,agglomerative_split,13,13,0.7691,"civil engineering electrical: mechanical, data",engineering | civil | electrical | mechanical | data | engineering civil | engineering data | engineering electrical | civil engineering electrical | data engineering civil
cluster_h0004,hard_plus_knowledge,agglomerative_split,60,36,0.6466,"ai platforms android: api, cybersecurity",android | api | cybersecurity | defence | fusion | api rest | cybersecurity observability | defence fusion | ai platforms android | api rest ai
cluster_h0005,hard_plus_knowledge,agglomerative_split,54,43,0.6648,"accounting power bi: documentation, requirements",documentation | requirements | accounting | analytics | bi | accounting power | analysis accounting | analytics utilities | accounting power bi | analysis accounting power
cluster_h0006,hard_plus_knowledge,agglomerative_split,27,22,0.7437,"ai ai/ml generative: artificial, intelligence",artificial | intelligence | learning | ai | ai/ml | artificial intelligence | ai ai/ml | ai artificial | ai ai/ml generative | ai artificial intelligence
cluster_h0007,hard_plus_knowledge,agglomerative_split,28,23,0.6355,"ai-enabled workflows automation: architecture, systems",architecture | systems | automation | distributed | workflows | distributed systems | architecture distributed | architecture event-driven | ai-enabled workflows automation | architecture distributed systems
cluster_h0008,hard_plus_knowledge,hdbscan,8,4,0.7394,"javascript react native: js, node",javascript | js | native | node | react | javascript react | js javascript | node js | javascript react native | js javascript react
cluster_h0009,hard_plus_knowledge,agglomerative_recovery,19,13,0.6010,"devops git kubernetes: docker, gcp",docker | gcp | git | kubernetes | terraform | devops git | docker devops | gcp docker | devops git kubernetes | docker devops git
cluster_s0000,soft_skill,hdbscan,25,23,0.7559,"collaborate team work: cross-functional, teams",collaborate | cross-functional | team | teams | collaboratively | cross-functional teams | collaboratively work | team collaborate | collaborate team work | collaboratively work independently
cluster_s0001,soft_skill,hdbscan,26,16,0.7191,"adapt change think: communicate, solve",communicate | solve | adapt | ambiguity | challenges | ambiguity communicate | challenges grow | change think | adapt change think | ambiguity communicate ideas
cluster_s0002,soft_skill,agglomerative_recovery,14,13,0.6033,"business needs deliver: closely, data",closely | business | data | deliver | developers | work closely | developers work | engineers work | business needs deliver | closely stakeholders manage
