job_id,skill,type,bloom,confidence_score,confidence_tier,verification_level,is_verified,semantic_density,context_agreement,source,source_file,review_id,human_valid,human_type,human_bloom,human_notes,reviewer_id,job_text
in-bae7da04393e2cef,monitor DRC runs,Hard,Analyze,0.664,Medium,Verified_HIGH,True,0.74,0.9,LLM,verified_skills.csv,skill_45e6d8ceafad,,,,,,"About the role: We’re seeking computer science interns to build a production -style QA platform delivered as a Streamlit app.
The app will trigger and monitor DRC runs, track cycle time (days to completion), iteration history, and rule stability, and provide a simple in -app chatbot for common engineer FAQs."
in-189e4607c218da31,ensure access to products through sales channel mix,Hard,Analyze,0.667,Medium,Verified_HIGH,True,0.77,0.9,LLM,verified_skills.csv,skill_c1f969882969,,,,,,"This position helps make gospel teachings, resources, and services accessible to all in a simple and affordable way, supporting the mission of the Church This role exists to provide support and leadership for Area sales channel operations, demand planning, inventory management, customer service, and inform/awareness in a non -US Church Area.
This is largely a sedentary role, requiring some bending and standing as necessary.
This role routinely uses standard office equipment such as computers, phones, photocopiers, filing cabinets, and fax machines.
The incumbent will assist the Area PSM with the creation of local inform/awareness materials and provide feedback to Area and HQ regarding the effectiveness of all Marketing campaigns.
Success is measured by key operating metrics and customer/employee satisfaction. Inform/Awareness: The incumbent is the primary owner of all Customer inform/awareness activities within the Area and partners closely with the Area Communications Committee and Area Publishing Services Manager (PSM) to adapt inform/awareness materials to the local language and customer needs and execute all inform/awareness activities within the Area.
The incumbent also ensures customers receive an optimal customer experience when interacting with the Sales Channels.
The goal of this role is to ensure optimal levels of inventory to meet customer needs and suggesting opportunities for improvement that are backed by analysis. Sales Channel Management: The incumbent ensures members in the Area have simple and affordable access to products through an appropriate Sales Channel mix, that may include the online store, retail stores, and other channels.
Regularly manage the work of other employees (may include mixed workforce), and is authorized, in partnership with HR, to hire or fire employees and recommends advancement, promotions or any other change of status of employees within their reporting line. Inventory Management: The incumbent is responsible for all demand planning, forecasting, and inventory management within the Area, supporting local production needs and maintaining proper levels of inventory throughout the local supply chain and especially at the retail stores.
The incumbent's primary goal is to standardize sales channel operations globally while understanding local customs and practices."
in-e7722395abd65cf4,maintain performance,Hard,Analyze,0.714,Medium High,Verified_HIGH,True,0.89,0.9,LLM,verified_skills.csv,skill_30bc9ebee77a,,,,,,"We’re looking for people who think big, act fearlessly, and create an inclusive environment that drives positive impact to join our team. What you'll do The Customer Engineering team is a group of highly technical engineers who are tasked with maintaining and developing the reliability, scalability, and performance of the Service to different Enterprise Customers."
in-ee0deef20dee727b,monitor environmental best practices,Hard,Analyze,0.709,Medium High,Verified_HIGH,True,0.85,0.9,LLM,verified_skills.csv,skill_1e2b508b84d4,,,,,,"This role will focus on environmental performance management, footprint tracking, regulatory compliance, and external environmental reporting (GHG and non -GHG).
WBCSD, UN Global Compact) to support continuous improvement in corporate environmental performance Monitor emerging environmental regulations, disclosure requirements, and best practices relevant to Bentley’s operations and commitments Products, Users & Technical Support Provide environmental and sustainability expertise to internal teams (product, marketing, sales) supporting the development and testing of environmental analysis capabilities, including LCA -related tools Support the assessment of user projects (e.g.
The Environmental Sustainability Manager will also contribute technical expertise to the development, assessment, and testing of digital tools, partnerships, and user projects related to environmental performance and accountability (including LCA -related capabilities).
Location: Home -based or hybrid, Canada, Eastern time zone. Position Summary: Bentley Systems is seeking an Environmental Sustainability Manager to support and help drive the environmental component of the company’s ESG strategy and program, as part of the Sustainability and Education team."
in-5673cefe021ebc42,assist students with audio hardware questions,Hard,Analyze,0.619,Medium,Verified_HIGH,True,0.8,0.9,LLM,verified_skills.csv,skill_fe07c0a4b6de,,,,,,"Among the college’s most popular programs are Liberal Arts and Humanities, Nursing, EMT/Paramedic, Business Administration, and the Arts— reflecting a diverse student body with varied academic and professional interests.
PVCC’s Honors Program offers a rigorous academic experience for high -achieving students seeking greater intellectual engagement and leadership development.
PVCC fosters a vibrant and inclusive campus culture that supports the whole student.
A robust network of student services includes academic and career counseling, tutoring, disability resources, veteran services, and dedicated support for first -generation college students.
The college encourages student involvement through intercollegiate athletics—competing in 12 NJCAA sports programs as the proud home of the Pumas—as well as a variety of clubs, activities, and leadership opportunities.
Campus amenities include a modern library, Center for the Performing Arts, fitness center, and on -site café, all of which contribute to a welcoming and engaging environment.
PVCC also prioritizes early college access through initiatives like Dual Enrollment, enabling high school students to earn college credit or even an associate degree before graduation.
PVCC is accredited by the Higher Learning Commission (HLC), with its accreditation most recently reaffirmed in 2024 .
As part of the Maricopa County Community College District, one of the largest community college systems in the nation, PVCC is committed to transforming lives through learning, service, and leadership.
The college offers more than 125 degree and certificate programs, including 37 associate degrees and 46 certificate options available, and more than 150 academic pathways organized by Fields of Interest to help students align their educational journey with career goals.
The position will assist the music program with technical events needs such as audio system design, audio system installation and operation for concerts and events both on and off campus.
Hourly Rate - $15 .15/per hour Not Eligible for Benefits - This is a part -time, temporary position not eligible for benefits. Work Schedule - 10:00am -3:00pm; days and work schedule may vary due to events; Not to exceed 25 hours per week; There will be some events held in the evening and on the weekend. Maricopa Summary - Are you looking for a place to work where you can make a real difference in the lives of over 200,000 college students every year?
The position may also serve as a lab monitor for the electronic music lab and assist students with audio hardware and software questions as they work on the course projects.
If you have no employment history, please include the date that you began your program of study and give the details of your program of study. Posting Close Date - Open until filled EEO, Title IX, & Clery Act - Maricopa County Community College District (MCCCD) will not discriminate, nor tolerate discrimination in employment or education, against any applicant, employee, or student because of race, color, religion, sex, sexual orientation, gender identity, national origin, citizenship status (including document abuse), age, disability, veteran status or genetic information.
These programs empower students to transfer to four -year universities, enter the workforce, or pursue lifelong learning.
In addition to associate -level offerings, PVCC now offers two bachelor’s degree programs: a Bachelor of Arts in Elementary and Special Education and a Bachelor of Business Administration in Accounting.
The college supports strong transfer partnerships with Arizona State University, Northern Arizona University, the University of Arizona, and Grand Canyon University, providing students with seamless transfer pathways toward completing a four -year degree.
The college maintains an open admissions policy, ensuring broad access to quality higher education. Job Summary - PVCC's music program is filling a federal work -study position to serve as the music program's production assistant.
42 in Arizona’s Best Employers Campus Statement - Paradise Valley Community College (PVCC) is a dynamic and student -centered institution located in Phoenix, Arizona."
in-801e77fe9dd77c2d,analyze and debug web applications,Hard,Analyze,0.699,Medium,Verified_HIGH,True,0.78,0.9,LLM,verified_skills.csv,skill_bdebadce059e,,,,,,"Operational concepts of the internet and the web, static and dynamic client content, dynamically served content, n -tiered architectures, web development processes and security on the web. Lecture Section: LEC01: THU 5 -7pm Course Enrollment (est.): 100 Number of Positions (est.): One Qualifications: The successful candidate must demonstrate thorough, solid, and technical expertise in the topics explored during the course.
These include components of web applications, architecture of a web server, web service frameworks, manipulating the Document Object Model, analysis and debugging of web applications through a browser, server -client communication models, and development of working web applications.
The successful candidate is expected to deliver a course that closely follows the content and organization of the Winter CSCB58 course offering.
The successful candidate must demonstrate thorough familiarity with the course material.
For this position, relevant industry experience can be considered in lieu of graduate -level work in the field.
For this posting, relevant industry experience can be considered in lieu of graduate -level academic expertise.
The successful applicant will be expected to deliver a course that follows the plan presented here: https: thierrysans.me/CSCC09/.
YOU MUST APPLY TO THIS POSTING AT THIS APPLICATION SITE ONLY: https: www.utsc.utoronto.ca/webapps/cupehiring/dept/cms/app/sl If you have any issues applying, please contact Kelly Squier kelly.squier@utoronto.ca - Course Code and Title: CSCC09H3 - Programming on the Web Course Description: An introduction to software development on the web.
Concepts underlying the development of programs that operate on the web."
in-ded3a3347d3bcae7,maintain appearance of shared spaces,Hard,Analyze,0.7,Medium High,Verified_HIGH,True,0.79,0.9,LLM,verified_skills.csv,skill_eb12c6d39b65,,,,,,"Proficiency with Google Workspace (Docs, Sheets, Gmail, Calendar).
Ability to manage multiple priorities with a calm, solutions -oriented approach.
Comfortable working in a creative, fast -paced environment with shifting needs. Preferred Qualities Proactive and resourceful problem -solver.
Strong sense of ownership and reliability.
Perform other related duties as assigned. Qualifications High school diploma or equivalent required.
Comfortable working in a professional environment that includes executives, artists, managers, and business partners. Compensation & Benefits $25 .00 – $28 .00 per hour (non -exempt; eligible for overtime).
Health, dental, and vision insurance.
Life insurance.
Paid time off, holidays, and wellness benefits.
401(k) retirement plan.
Opportunity to work in a dynamic, creative environment and gain exposure to the entertainment industry.
3–5 years of experience in administrative, office coordination, or operations support roles in a professional office environment preferred.
Takes pride in creating a polished and well -organized office environment.
This role is operationally focused and requires strong attention to detail, follow -through, and a proactive approach to solving day -to -day office needs.
The ideal candidate is reliable, resourceful, and comfortable balancing front desk responsibilities with broader office support duties.
Coordinate shipments and ensure timely distribution of deliveries to staff. Operational Support Address routine day -to -day office issues or coordinate with internal teams and external stakeholders to obtain solutions.
The position requires strong communication, organization, and problem -solving skills, along with the ability to coordinate tasks and address routine operational issues in a fast -paced creative setting.
This role assists with office coordination, facilities support, and administrative processes that help maintain a productive and professional work environment.
With a global perspective and an artist -first philosophy, we combine music, media, and technology to empower creative freedom and unlock new opportunities for storytelling, ownership, and growth. Position Summary The Office Coordinator supports the day -to -day administrative functions of gamma.’s Los Angeles office while serving as the first point of contact for visitors, artists, managers, and business partners.
Description: Title: Office Coordinator Reports To: Vice President of Operations Location: West Hollywood, CA (On -site) FLSA: Hourly, Non -Exempt Compensation: $25 .00 – $28 .00 / hour About the Company gamma. is a modern media and technology enterprise created to revolutionize the way artists create, distribute, and monetize their content and brand.
Requirements: Key Responsibilities Office Coordination Provide direct administrative and operational support to the Vice President of Operations.
Support office administrative functions and processes through assistance, backup, and coordination duties.
Coordinate office activities to maintain efficiency and alignment with company policies and procedures. Front Desk & Visitor Management Serve as the first point of contact for guests, artists, managers, and vendors.
Welcome visitors with professionalism and ensure they are properly checked in and directed.
Answer and route incoming calls, emails, and general inquiries. Office Operations & Projects Assist with planning and coordinating office -wide processes and projects including facilities maintenance, space planning, office moves, equipment installations, and internal events.
Ensure confidentiality and discretion in handling sensitive information.
Support scheduling and coordination for meetings, conference rooms, and on -site events.
Assist with employee workspace setup and general office logistics.
Highly organized, reliable, and detail -oriented.
Maintain the appearance and organization of shared spaces including the lobby, conference rooms, and common areas. Inventory & Supplies Monitor inventory and place orders for office equipment, supplies, kitchen provisions, and other operational needs.
Maintain organization and stocking of office supplies and shared resources. Mail & Deliveries Process incoming and outgoing mail, packages, and courier services.
Provide general administrative support to Operations and People Operations teams as assigned. Facilities & Vendor Coordination Coordinate with building management, facilities, IT, and vendors regarding maintenance requests, repairs, and office services.
Strong communication and interpersonal skills with a professional and approachable demeanor."
in-9378455c1bb091a1,enable technology,Hard,Analyze,0.624,Medium,Verified_HIGH,True,0.84,0.9,LLM,verified_skills.csv,skill_4dcb63502068,,,,,,"This fast -paced environment requires excellent time management, insightful debugging, critical thinking, problem -solving skills and deep knowledge of the Linux system.
We also work with OEMs and ODMs - Dell, HP, Lenovo, Advantech, ADLink and many more - to ensure that Ubuntu works perfectly on their hardware.
We work with the world's most significant silicon companies - Intel, AMD, Nvidia, Mediatek, Hisilicon, Samsung and more - to optimize Ubuntu on their next -generation chips.
In this role, you will use your knowledge of Linux and hardware and improve Ubuntu for millions of users.
You will have the opportunity to enable cutting edge technology with world leading partners, and become the first contributor to the innovation.
We are hiring a Senior Ubuntu Embedded IoT System Engineer to represent Canonical with leading OEMs, ODMs, and silicon partners and to deliver the best user experience of Ubuntu on partner hardware for Robotics, Automotive, SmartNIC, Medical device, Industry gateway and many other products.
Canonical's OEM Delivery Team works with tier -one OEM, IHV, and ODM customers to pre -load Ubuntu Classic, Ubuntu Core, and bring Ubuntu directly to millions of users."
in-06b5e96976a3f626,administer candidate profiles,Hard,Analyze,0.602,Medium,Verified_HIGH,True,0.87,0.9,LLM,verified_skills.csv,skill_a8353b28c79c,,,,,,"Accounting Generalist (Term Position) = This is a term position to October 15, 2026 . Banff Centre for Arts and Creativity aims to inspire everyone who attends our campus – artists, leaders, and thinkers – to unleash their creative potential.
We acknowledge, with deep respect and gratitude, our home on the side of Sacred Buffalo Guardian Mountain.
In the spirit of respect and truth, we honour and acknowledge the Banff area, known as “Minhrpa” (translated in Stoney Nakoda as “the waterfalls”) and the Treaty 7 territory and oral practices of the Îyârhe Nakoda (Stoney Nakoda) – comprised of the Bearspaw, Chiniki, and Goodstoney Nations – as well as the Tsuut’ina First Nation and the Blackfoot Confederacy comprised of the Siksika, Piikani, Kainai.
We acknowledge that this territory is home to the Shuswap Nations, Ktunaxa Nations, and Metis Nation of Alberta, Rockyview District 4 .
We acknowledge all Nations who live, work, and play, help us steward this land, and honour and celebrate this place. The Opportunity - As an administrative and financial services specialist, the Accounting Generalist is an important part of our finance team.
Working with the Manager, Accounting and Financial Reporting, you'll provide information to Banff Centre staff on financial policies, as well as ensuring the smooth running of the department.
Commitment to Diversity Banff Centre for Arts and Creativity is committed to creating an equitable, diverse, and inclusive campus for students, faculty, staff and visitors.
Guided by our values, Banff Centre is rooted in Alberta with provincial, national and global impact.
Our strength arises from inclusion; the diversity of people, ideas, perspectives, and cultural backgrounds in our work and team.
We encourage women; First Nations, Métis and Inuit persons; members of visible minority groups; persons with disabilities; persons of any sexual orientation or gender identity and expression to apply.
Privacy Statement Banff Centre is a public body pursuant to the Protection of Privacy Act (Alberta) (“POPA”) and the Access to Information Act (“ATIA”).
All of your personal information collected by Banff Centre, including personal information collected through third -party contractors or platforms, in relation to the creation of your candidate profile and submission of a job application, is collected pursuant to section 4(c) of POPA for the purpose of administering your candidate profile, evaluating your eligibility for a position(s) at Banff Centre, and communicating with you about your application.
If you have any questions about the collection, use or protection of this information, please contact the Privacy Coordinator at privacy@banffcentre.ca, 107 Tunnel Mountain Drive, Box 1200, Banff Alberta, T1L 1H5, 403 .762 .6100 .
Your personal information may be disclosed, as required, pursuant to ATIA or other applicable law, to satisfy reporting requirements, or for statistical, funding, planning or research purposes."
in-31a68bf771762bbc,analyze business challenges,Hard,Analyze,0.679,Medium,Verified_HIGH,True,0.85,0.9,LLM,verified_skills.csv,skill_7206c8761d77,,,,,,"If they join us, you’ll get a referral bonus as a thank you. Diversity, Equity, Inclusion & Belonging at Oakland At Oakland, we believe that diverse perspectives drive better outcomes for our people, our clients, and our business.
Occasional travel to client sites may also be required. The role: Thanks to growth in our client base, we are on the lookout for a mid -level Business Analyst to join our team.
This balance helps us stay connected, learn from each other, and build strong relationships - both within our team and with the businesses we support. Blended Working: We operate a blended working model, with colleagues spending at least two days per week in the office, aligned to project team requirements.
This partnership marks a significant milestone in our journey, and we’re looking forward to achieving great things together.
If the thought of solving real -world business challenges through data and making a tangible impact with your work sounds good, this role is for you!
About Us At Oakland, we help businesses unlock the power of their data.
Founded in 1986 out of our Leeds HQ, we work with a diverse range of clients across all sorts of industries, including Utilities, Telecommunications, Media, Financial Services, Public Sector, and many more!"
in-32372b2a70a2998c,ensure pedagogical soundness,Hard,Analyze,0.681,Medium,Verified_HIGH,True,0.86,0.9,LLM,verified_skills.csv,skill_4c563f482b10,,,,,,"You enjoy working collaboratively and take pride in delivering high -quality work.
Mō mātou | About us As a proudly kaupapa Māori tertiary educator, ‘tauira success’ is our mission and ‘whānau transformation through education’ is our vision.
These guide our commitment to delivering high -quality education programmes underpinned by Māori culture, values and Te Kaupapa Matua.
In this role, you will design and develop research -informed, engaging learning experiences that form the foundation for delivery across online, blended and print environments.
Working closely with Programme Developers, Graphic and Digital Designers, and Subject Matter Experts, you will ensure that learning resources are pedagogically sound, culturally responsive and aligned to programme outcomes, regulatory requirements and continuous improvement processes.
For further enquiries, please email jobs@twoa.ac.nz
Applications will close once a suitable shortlist has been identified.
Salary Range: $72,490 - $90,613 - $108,735 .
A position description is available on our careers website."
in-725db5ff1965a5cf,identify issues related to outstanding payments,Hard,Analyze,0.703,Medium High,Verified_HIGH,True,0.81,0.9,LLM,verified_skills.csv,skill_f18598eead6d,,,,,,"Salaries are based on a 40 -hour workweek and paid on a bi -weekly payroll schedule.
Pay range: $52,000 - $60,000 depending on experience and skill set Current Opening: This posting reflects a currently available position within our organization for which we are actively recruiting. We make technology work so people can do great things. CDW is a leading multi -brand provider of information technology solutions to business, government, education and healthcare customers in the United States, the United Kingdom and Canada.
At CDW, we strive to offer market -competitive total rewards packages to attract and retain talent.
An Accounts Receivable (AR) Analyst is focused on identifying, addressing, and resolving issues related to outstanding payments."
in-4aab702ede0af613,audit a candidate’s sales acumen,Hard,Analyze,0.697,Medium,Verified_HIGH,True,0.77,0.9,LLM,verified_skills.csv,skill_6acb6985a80b,,,,,,"Stakeholder Partnership Partner with Sales Leadership to define ""What Good Looks Like"" for each specific region and vertical. Provide real -time market data to hiring managers regarding salary bands, talent density, and competitor compensation. Challenge hiring managers when necessary - you are the expert on talent. 4 .
Strategic Sourcing & Headhunting Build and nurture a pipeline of top 1% sales talent (President’s Club winners, top 5% attainment). Map out competitor sales organisations and execute targeted headhunting campaigns. Sell the Kong vision, equity story, and product value to passive candidates who aren't actively looking. 3 .
The Mission Kong is scaling rapidly.
You know the difference between a Champion and a Coach, and you know how to test a candidate's grasp of these concepts. Scale -Up Resilient: You thrive in ambiguity.
You can build a plane while flying it and adapt quickly when priorities change (which they will). Hunter Mentality: You don’t rely on inbound applicants.
You enjoy the hunt and have a creative toolkit for finding hidden talent. Data -Driven: You use data to influence decisions and track your own performance.
Why Join Us? Culture of Excellence: We hold ourselves to high standards.
You will be working with A -players across the board. Equity: Significant stock options.
When we win, you win. Impact: You are literally building the team that generates the company's revenue.
Your work directly correlates to our valuation. Flexibility: Remote -first culture / Hybrid options. About Kong: Kong Inc., a leading developer of API and AI connectivity technologies, is building the infrastructure that powers the agentic era. trusted by the Fortune 500 and startups alike, Kong's unified API and AI platform, Kong Konnect, enables organizations to secure, manage, accelerate, govern, and monetize the flow of intelligence across APIs and AI models.
Operational Excellence Drive a rigorous interview process that balances speed with quality. Mentor other recruiters on sales terminology, objection handling, and closing strategies. Track conversion metrics to optimise the funnel (e.g., Passthrough Rates, Offer Acceptance Rates).
You will act as a strategic advisor to our EMEA Sales Leaders and you won’t just be passing over resumes; you will be conducting deep -dive competency interviews to ensure every candidate we hire raises the bar.
The Role As the Lead Sales Recruiter, you will own the hiring strategy for our most critical revenue roles (Enterprise & Commercial AEs, Sales Leaders).
We are looking for a talent partner who can audit a candidate’s sales acumen, dig into their deal mechanics, and ensure they have the DNA to close six -figure deals in a fast -paced scale -up environment.
MEDDIC -Driven Assessment Go beyond the resume: Assess candidates on their specific deal mechanics. (e.g., ""Who was the Economic Buyer in your biggest win?"" ""What Metrics did you use to build the business case?"") Filter out ""lucky"" sellers from ""strategic"" sellers by digging into their process, territory planning, and forecasting accuracy. 2 .
What You Will Do 1 .
The Ideal Candidate Experience: Full -cycle recruiting experience, with a heavy focus on B2B SaaS / Enterprise Software Sales. Methodology Native: You are fluent in MEDDIC / MEDDPICC.
We are building a world -class revenue engine, and to do that, we need a Lead Sales Recruiter who doesn't just fill seats but identifies elite talent.
Our sales organisation operates on MEDDIC.
We believe that rigorous qualification applies just as much to hiring as it does to selling."
in-9378455c1bb091a1,debug systems,Hard,Analyze,0.699,Medium,Verified_HIGH,True,0.78,0.9,LLM,verified_skills.csv,skill_1cf44802621b,,,,,,"This fast -paced environment requires excellent time management, insightful debugging, critical thinking, problem -solving skills and deep knowledge of the Linux system.
We also work with OEMs and ODMs - Dell, HP, Lenovo, Advantech, ADLink and many more - to ensure that Ubuntu works perfectly on their hardware.
We work with the world's most significant silicon companies - Intel, AMD, Nvidia, Mediatek, Hisilicon, Samsung and more - to optimize Ubuntu on their next -generation chips.
In this role, you will use your knowledge of Linux and hardware and improve Ubuntu for millions of users.
You will have the opportunity to enable cutting edge technology with world leading partners, and become the first contributor to the innovation.
We are hiring a Senior Ubuntu Embedded IoT System Engineer to represent Canonical with leading OEMs, ODMs, and silicon partners and to deliver the best user experience of Ubuntu on partner hardware for Robotics, Automotive, SmartNIC, Medical device, Industry gateway and many other products.
Canonical's OEM Delivery Team works with tier -one OEM, IHV, and ODM customers to pre -load Ubuntu Classic, Ubuntu Core, and bring Ubuntu directly to millions of users."
