gold_id,job_id,skill,type,bloom,confidence_score,confidence_tier,source,semantic_density,context_agreement,is_overlap,notes,is_correct,type_label,bloom_label,labeler_id
gs_0e4e2fcf4e73,in-34c6520c08d55db7,champion world-class artistry,Soft,,0.645,Medium,LLM,0.87,0.9,False,,yes,nan,nan,labeler1
gs_a8a244f5e558,in-0fcfe59aff7d7b19,evaluate Stratum models,Hard,Create,0.62,Medium,LLM,0.81,0.9,False,,yes,Hard,Evaluate,labeler1
gs_2b038c3c020b,in-7c6b469bd3c32c83,oversee development of contracts,Soft,,0.61,Medium,LLM,0.82,0.9,False,,yes,Soft,nan,labeler1
gs_0b2a914945fa,in-7e3654818d829d5e,be flexible in approach,Soft,,0.629,Medium,LLM,0.75,0.9,False,,yes,nan,nan,labeler1
gs_d0b0b691bf95,in-a77e7fdadad1bd31,assist in preparation of forecasts,Hard,Apply,0.565,Medium Low,LLM,0.78,0.9,False,,yes,Hard,Apply,labeler1
gs_fb3f84fbc344,in-17826d4303fc4d24,create Power BI dashboards,Hard,Create,0.668,Medium,LLM,0.77,0.9,False,,yes,nan,nan,labeler1
gs_6ba84d46e25c,in-63be0cc7d27e5935,prioritise tasks effectively,Soft,,0.616,Medium,LLM,0.86,0.9,False,,yes,nan,nan,labeler1
gs_39f0f7a122ea,in-361c0675a3147072,proactively manage tasks,Soft,,0.639,Medium,LLM,0.82,0.9,False,,yes,nan,nan,labeler1
gs_ad5ccc8dcf45,in-30cac704112e9e05,align stakeholders,Soft,,0.643,Medium,LLM,0.86,0.9,False,,yes,nan,nan,labeler1
gs_d2bab78c9883,in-7c6b469bd3c32c83,serve as liaison for building management,Soft,,0.633,Medium,LLM,0.78,0.9,True,,yes,nan,nan,labeler1
gs_cf4b485f1188,in-bc0aa6df2d805b7b,create business and revenue models,Hard,Create,0.699,Medium,LLM,0.78,0.9,False,,yes,nan,nan,labeler1
gs_58c5fcb04df0,in-ded3a3347d3bcae7,support scheduling for meetings and events,Hard,Evaluate,0.699,Medium,LLM,0.79,0.9,False,,yes,Hard,Apply,labeler1
gs_2126ecf220cc,in-753a69a3294291c7,use CAD systems,Hard,Apply,0.691,Medium,LLM,0.73,0.9,True,,yes,nan,nan,labeler1
gs_094653431b07,in-ee0deef20dee727b,support development of environmental analysis capabilities,Hard,Create,0.627,Medium,LLM,0.86,0.9,False,,yes,nan,nan,labeler1
gs_8573a8fdcb46,in-c795d5647c5b2fa6,design layout,Hard,Create,0.699,Medium,LLM,0.78,0.9,False,,yes,nan,nan,labeler1
gs_4e2817321968,in-ded3a3347d3bcae7,address routine office issues,Hard,Apply,0.592,Medium Low,LLM,0.8,0.9,False,,yes,nan,nan,labeler1
gs_cbf0ae29a86f,in-92e57e0960d0c733,troubleshoot systems,Hard,Apply,0.714,Medium High,LLM,0.89,0.9,False,,yes,Hard,Analyze,labeler1
gs_2cb1abaa9176,in-4e8588b946d21212,turn data into insight,Hard,Apply,0.561,Medium Low,LLM,0.74,0.9,False,,yes,Hard,Analyze,labeler1
gs_0849aaa44352,in-b4af93f913150cac,manage client relationships,Soft,,0.67,Medium,LLM,0.85,0.9,True,,yes,nan,nan,labeler1
gs_219a9ee79968,in-7e3654818d829d5e,input data,Hard,Apply,0.584,Medium Low,LLM,0.74,0.9,True,,yes,nan,nan,labeler1
gs_8618f22ac776,in-07094449f509827e,ensure lighting operates flawlessly,Hard,Evaluate,0.624,Medium,LLM,0.84,0.9,False,,yes,nan,nan,labeler1
gs_75d48750de65,in-6818c9f518bb5702,collaborate with backend teams,Soft,,0.664,Medium,LLM,0.8,0.9,False,,yes,nan,nan,labeler1
gs_0f67cc0a83ed,in-02ef051e5141ce4b,apply advanced statistical methods,Hard,Apply,0.677,Medium,LLM,0.83,0.9,False,,yes,nan,nan,labeler1
gs_7e89a03a91c9,in-a77e7fdadad1bd31,support financial planning process,Hard,Create,0.597,Medium Low,LLM,0.83,0.9,False,,yes,nan,nan,labeler1
gs_62b0f457a48a,in-6953506b6f0d8ecb,build complex software,Hard,Create,0.702,Medium High,LLM,0.8,0.9,False,,yes,nan,nan,labeler1
gs_51c29dbc2f3f,in-9da8b8c6e52feb61,shape hybrid cloud environment,Hard,Apply,0.593,Medium Low,LLM,0.8,0.9,False,,yes,nan,nan,labeler1
gs_3b2109e46459,in-b96ed15875997926,ensure seamless deployment,Hard,Analyze,0.731,Medium High,LLM,1.0,0.9,True,,,,,
gs_d2028e6725ac,in-30af647e83a32e8c,"support predictable, reliable delivery",Soft,,0.616,Medium,LLM,0.86,0.9,False,,,,,
gs_c799c5b685f9,in-a0fcbae76d831775,implement solutions,Hard,Apply,0.712,Medium High,LLM,0.87,0.9,False,,,,,
gs_38b2df0bb8e6,in-f389b05688a66b67,develop creatures,Hard,Create,0.678,Medium,LLM,0.84,0.9,True,,,,,
gs_f3afa5b2d3ff,in-4249d42ce8b49e38,create documentation,Hard,Create,0.684,Medium,LLM,0.89,0.9,True,,,,,
gs_7f3ed3fa7d69,in-fbb699e18d37f468,support the design of solutions,Hard,Create,0.696,Medium,LLM,0.76,0.9,True,,,,,
gs_1221be041a06,in-e26b52256be0f85c,configure industrial processes,Hard,Apply,0.713,Medium High,LLM,0.88,0.9,False,,,,,
gs_258beb66eda3,in-06b5e96976a3f626,evaluate eligibility for positions,Hard,Evaluate,0.677,Medium,LLM,0.83,0.9,False,,,,,
gs_c014b1e07949,in-17ecef6aa8580020,facilitate communication,Soft,,0.706,Medium High,LLM,0.9,0.9,False,,,,,
gs_df9b2effcaa9,in-b96ed15875997926,explain mobile-specific constraints to designers,Soft,,0.616,Medium,LLM,0.86,0.9,False,,,,,
gs_567c7b6137b6,in-2dbe2c923e947b35,apply for roles,Soft,,0.627,Medium,LLM,0.73,0.9,True,,,,,
gs_a25b6b3ba4ca,in-cf33fce1da9e5f1f,automate processes,Hard,Create,0.68,Medium,LLM,0.86,0.9,False,,,,,
gs_c22d1d93be1c,in-23d80004b8615742,improve stability,Hard,Create,0.707,Medium High,LLM,0.84,0.9,False,,,,,
gs_6d7cc07ca629,in-189e4607c218da31,manage forecasting,Hard,Apply,0.68,Medium,LLM,0.86,0.9,False,,,,,
gs_acfbff86f524,in-a2a8769491dd2881,define architectural patterns,Hard,Create,0.628,Medium,LLM,0.87,0.9,False,,,,,
gs_70a875c2728a,in-9f2148688a920fb2,deliver technology products,Hard,Analyze,0.625,Medium,LLM,0.85,0.9,False,,,,,
gs_0ee88bf020be,in-bc40d95a380aa266,drive delivery of functionality,Hard,Apply,0.593,Medium Low,LLM,0.81,0.9,False,,,,,
gs_5b4947519137,in-fb45f01ebbc2a223,configure Intune security baselines,Hard,Evaluate,0.598,Medium Low,LLM,0.84,0.9,False,,,,,
gs_0b8d48bc628e,in-ded3a3347d3bcae7,monitor inventory and place orders,Hard,Create,0.616,Medium,LLM,0.78,0.9,False,,,,,
gs_fb15cafe3964,in-e1f6fb04d77bbcd3,support enterprise analytics platforms,Hard,Evaluate,0.681,Medium,LLM,0.86,0.9,True,,,,,
gs_d0c46c865990,in-b580b7c014d5ef12,develop backend server,Hard,Create,0.702,Medium High,LLM,0.8,0.9,False,,,,,
gs_0206478458a7,in-16914020afc5dd69,design software modules,Hard,Create,0.703,Medium High,LLM,0.81,0.9,False,,,,,
gs_5f4c0ba0fa7c,in-bc40d95a380aa266,drive innovation,Soft,,0.611,Medium,LLM,0.83,0.9,False,,,,,
gs_2ac6efb7f5d0,in-4bd1ca2b1bfdfa6d,support aggregation accuracy,Hard,Evaluate,0.71,Medium High,LLM,0.86,0.9,False,,,,,
gs_5e83c1417681,in-e78abd8a232a690b,collaborate with a team,Soft,,0.657,Medium,LLM,0.75,0.9,False,,,,,
gs_1cb61be6ae3e,in-ffcc36a373d8599a,accomplish critical missions and objectives,Hard,Apply,0.596,Medium Low,LLM,0.83,0.9,False,,,,,
gs_a144f531cf88,in-366ed5fb266e1ee3,deploy high-performance data ingestion systems,Hard,Apply,0.709,Medium High,LLM,0.85,0.9,False,,,,,
