gold_id,item_text,item_type,pipeline_domain,pipeline_similarity,true_domain_id,labeler_id,notes
gfs_43573cd2850f,oversees the addition,skill,Leadership & People Development,0.247,,,
gfs_47d44fa1428f,accelerate machine learning,skill,AI & Machine Learning,0.378,,,
gfs_f6340cf8686c,press against something with steady force,skill,Advanced Communication & Collaboration,0.043,,,
gfs_a182960cd6ea,develop architectures that are API-centric,skill,Software Development & Engineering,0.377,,,
gfs_7f5f9f05c313,support real -world game development.,skill,Game Development & Interactive Media,0.459,,,
gfs_76fa62f1735c,Serve as a subject matter expert on related processes,skill,Business Analysis & Requirements Engineering,0.416,,,
gfs_339e38c3bd57,understand a billing platform,skill,Digital Platforms & E-commerce,0.445,,,
gfs_8033852aafb1,create Test Classes,skill,Quality Assurance & Testing,0.287,,,
gfs_1faad6d2a37c,deliver complex distributed systems,skill,Blockchain & Distributed Systems,0.433,,,
gfs_34a4ce760767,specify cabling infrastructure,skill,Cloud Computing & Infrastructure,0.243,,,
gfs_588269b66966,develop API,skill,Software Development & Engineering,0.326,,,
gfs_4f69183b2dd3,study data trend,skill,Big Data & Analytics,0.34,,,
gfs_65f04316861c,file documents,skill,Routine Data Entry & Clerical,0.253,,,
gfs_03be3454e4b4,pressure test a major product bet,skill,Quality Assurance & Testing,0.146,,,
gfs_ae2c3457cced,provide product care and service,skill,Routine Maintenance Coding,0.244,,,
gfs_178ae7d70c74,deliver essential service,skill,Advanced Communication & Collaboration,0.203,,,
gfs_3b406cd57e5b,deliver pizza,skill,Blockchain & Distributed Systems,0.042,,,
gfs_cc30dd427f60,analyzing project scheduling activities for Ship,skill,Project Management & Agile Methodologies,0.355,,,
gfs_b5f64c855503,standardize deployment practices,skill,Routine Maintenance Coding,0.307,,,
gfs_5809d23fafea,create sustainable change,skill,Environmental & Sustainability Technology,0.405,,,
gfs_b0461b2c9022,supporting sustainable business practices,skill,Environmental & Sustainability Technology,0.365,,,
gfs_b55bbedcf429,detail technical solutions,skill,Advanced Communication & Collaboration,0.383,,,
gfs_137bee18269a,address DSP escalations,skill,Database & Systems Administration,0.14,,,
gfs_f01334996402,lead multi-disciplinary projects,skill,Advanced Communication & Collaboration,0.415,,,
gfs_2421b5cbaf33,optimize database performance,skill,Database & Systems Administration,0.263,,,
gfs_b2855037bf51,tracking money flows across borders,skill,Blockchain & Distributed Systems,0.232,,,
gfs_8a4618b7673f,drive business agenda,skill,Business Analysis & Requirements Engineering,0.354,,,
gfs_a03f9b2195e1,optimal performance.,skill,Database & Systems Administration,0.177,,,
gfs_92e685e8d060,act as a trusted finance contact,skill,Advanced Communication & Collaboration,0.176,,,
gfs_2728c9d12b3d,provide field engineering oversight,skill,Business Analysis & Requirements Engineering,0.326,,,
gfs_cd793483d791,Team oriented,skill,Leadership & People Development,0.37,,,
gfs_c556d9d469c0,build robots,skill,Human-AI Collaboration,0.354,,,
gfs_70446ca5d5ea,support the automation of manufacturing processes,skill,Process Automation & RPA,0.503,,,
gfs_818c36e706e2,monitor new technologies,skill,Environmental & Sustainability Technology,0.331,,,
gfs_8acf598aa304,align engineering activities,skill,Business Analysis & Requirements Engineering,0.341,,,
gfs_589215d66e1a,solve different tasks,skill,Critical Thinking & Problem Solving,0.365,,,
gfs_0527552ff755,define channel strategy,skill,Project Management & Agile Methodologies,0.175,,,
gfs_1b858fea3239,support ML solutions,skill,AI & Machine Learning,0.306,,,
gfs_ed53e3c62f98,resilient integration landscapes?,skill,Resilience & Adaptability,0.519,,,
gfs_ecd7a66a6395,work with digital provider representatives,skill,Digital Platforms & E-commerce,0.329,,,
gfs_1d5f26754ebb,leveraging AI techniques,skill,AI & Machine Learning,0.362,,,
gfs_aa07b9c58ab9,advise on scalability strategy,skill,Legacy Web Development,0.22,,,
gfs_655376433b4a,explore AI-assisted development,skill,Human-AI Collaboration,0.596,,,
gfs_c647c16d55c8,user -friendly interfaces.,skill,UX/UI & Digital Design,0.466,,,
gfs_0a16a80a9707,develop specialist expertise in Data and Analytics,skill,Big Data & Analytics,0.515,,,
