skill,n_jobs_total,n_jobs_with_education,dominant_kkni,education_distribution_json
abstract the complexity of the data layer,1,0,,{}
accomplish critical missions and objectives,1,0,,{}
accomplish sustainable vision,1,1,6.0,"{""6"": 1}"
achieve transformational healthcare improvement,1,1,6.0,"{""6"": 1}"
act as a bridge between teams,1,0,,{}
act as a strategic advisor,1,0,,{}
act as expert for system admins and engineers,1,1,6.0,"{""6"": 1}"
act as lead,1,1,5.0,"{""5"": 1}"
act fearlessly,1,1,6.0,"{""6"": 1}"
act independently,1,1,6.0,"{""6"": 1}"
act with intention,1,0,,{}
adapt approach to activities and customers,1,0,,{}
adapt inform/awareness materials to customer needs,1,1,5.0,"{""5"": 1}"
adapt inform/awareness materials to local language,1,1,5.0,"{""5"": 1}"
adapt makeup style to different customers,1,0,,{}
adapt quickly when priorities change,1,0,,{}
adapt to a varying work schedule due to events,1,1,2.0,"{""2"": 1}"
adapt to change,2,1,6.0,"{""6"": 1}"
adapt to pace of change,1,1,5.0,"{""5"": 1}"
address issues related to outstanding payments,1,0,,{}
address labor shortages,1,1,6.0,"{""6"": 1}"
address rising costs,1,1,6.0,"{""6"": 1}"
address routine office issues,1,1,2.0,"{""2"": 1}"
adhere to industry standards,1,1,6.0,"{""6"": 1}"
"adhere to policy, procedures and controls",1,1,6.0,"{""6"": 1}"
adhere to protocols,1,1,6.0,"{""6"": 1}"
adhere to safety standards,1,1,6.0,"{""6"": 1}"
adjust and be flexible to change,1,0,,{}
administer accounting procedures,1,0,,{}
administer candidate profiles,1,1,2.0,"{""2"": 1}"
administer general office procedures,1,0,,{}
administer program procedures,1,0,,{}
adopt and test new features early on,1,0,,{}
advance career in B2B software sales,1,0,,{}
advance careers,1,0,,{}
"advance lexical, vector, and hybrid retrieval systems",1,1,8.0,"{""8"": 1}"
advance performance analysis and tuning for GPUs,1,1,9.0,"{""9"": 1}"
advise on technology support,1,0,,{}
align IT processes and procedures,1,1,2.0,"{""2"": 1}"
align resources to outcomes,1,1,6.0,"{""6"": 1}"
align stakeholders,1,0,,{}
allocate space and power,1,1,2.0,"{""2"": 1}"
allow developers to monitor databases,1,0,,{}
allow developers to scale databases,1,0,,{}
allow developers to spin up databases,1,0,,{}
analyse complex datasets,1,1,6.0,"{""6"": 1}"
analyse workflows,1,0,,{}
analyze and debug web applications,1,1,6.0,"{""6"": 1}"
analyze business and technical requirements,1,1,6.0,"{""6"": 1}"
analyze business challenges,1,1,6.0,"{""6"": 1}"
analyze business data,1,1,8.0,"{""8"": 1}"
analyze business processes,2,0,,{}
analyze clinical documents,1,0,,{}
analyze data,1,0,,{}
analyze frameworks,1,1,6.0,"{""6"": 1}"
analyze iOS apps,1,1,6.0,"{""6"": 1}"
analyze monthly financial results,1,1,6.0,"{""6"": 1}"
analyze pharmacy operations data,1,1,8.0,"{""8"": 1}"
analyze potential impact on recovery capabilities,1,1,2.0,"{""2"": 1}"
analyze requirements,1,0,,{}
analyze software for defects,1,1,2.0,"{""2"": 1}"
analyze solution options,1,1,6.0,"{""6"": 1}"
analyze systems,2,1,6.0,"{""6"": 1}"
analyze user generated content,1,0,,{}
answer and route incoming calls and emails,1,1,2.0,"{""2"": 1}"
apply AI to asset-intensive environments,1,1,6.0,"{""6"": 1}"
apply AI to tackle challenges,1,1,9.0,"{""9"": 1}"
apply DevOps practices,1,0,,{}
apply Security Technical Implementation Guides (STIGs),1,1,6.0,"{""6"": 1}"
apply advanced statistical methods,1,1,8.0,"{""8"": 1}"
apply agent-based architectures to asset-intensive environments,1,1,6.0,"{""6"": 1}"
"apply basic principles, theories, and concepts",1,1,6.0,"{""6"": 1}"
apply best practices for indexing,1,0,,{}
apply best practices for schema design,1,0,,{}
apply best practices for security configurations,1,0,,{}
apply construction regulations,1,0,,{}
apply core skills across deployment platforms,1,0,,{}
apply customer configurations,1,1,6.0,"{""6"": 1}"
apply expert insights to customer problems,1,1,5.0,"{""5"": 1}"
apply for roles,1,0,,{}
apply knowledge of compute programming models and compute architecture,1,1,9.0,"{""9"": 1}"
apply machine learning to asset-intensive environments,1,1,6.0,"{""6"": 1}"
apply makeup,1,0,,{}
apply methodical approach,1,0,,{}
apply qualitative and quantitative data to inform decisions,1,0,,{}
apply residential construction practices,1,0,,{}
apply skills beyond formal role boundaries,1,1,6.0,"{""6"": 1}"
apply temporal smoothing,1,1,8.0,"{""8"": 1}"
apply theoretical knowledge,1,1,6.0,"{""6"": 1}"
approach problems creatively and collaboratively,1,1,6.0,"{""6"": 1}"
architect AI factories,1,0,,{}
architect APIs and orchestration layers,1,1,6.0,"{""6"": 1}"
architect a modern data platform,1,0,,{}
"architect and build polished, cross-platform mobile experiences",1,0,,{}
architect high-performance mobile applications,1,0,,{}
articulate a compelling case for a technology,1,0,,{}
articulate a compelling case for an architectural approach,1,0,,{}
assess candidates on specific deal mechanics,1,0,,{}
assess user projects,1,1,6.0,"{""6"": 1}"
assist customers in expanding SAP footprint,1,1,3.0,"{""3"": 1}"
assist in building a design system,1,1,6.0,"{""6"": 1}"
assist in development and maintenance of efficient systems,1,1,8.0,"{""8"": 1}"
assist in preparation of capital appropriation requests,1,1,6.0,"{""6"": 1}"
assist in preparation of forecasts,1,1,6.0,"{""6"": 1}"
assist in preparation of operations reviews,1,1,6.0,"{""6"": 1}"
assist in preparation of profit plans,1,1,6.0,"{""6"": 1}"
assist students with audio hardware questions,1,1,2.0,"{""2"": 1}"
assist students with audio software questions,1,1,2.0,"{""2"": 1}"
assist with REB applications,1,0,,{}
assist with budget preparation,1,1,2.0,"{""2"": 1}"
assist with creation of local inform/awareness materials,1,1,5.0,"{""5"": 1}"
assist with deployments,1,0,,{}
assist with employee workspace setup,1,1,2.0,"{""2"": 1}"
assist with grant applications,1,0,,{}
assist with office coordination,1,1,2.0,"{""2"": 1}"
assist with planning office-wide processes,1,1,2.0,"{""2"": 1}"
assist with running vulnerability scans,1,1,6.0,"{""6"": 1}"
assist with scheduling vulnerability scans,1,1,6.0,"{""6"": 1}"
attend seminars,1,0,,{}
attend trainings,1,0,,{}
attend walk-through meetings,1,1,2.0,"{""2"": 1}"
attract skilled professionals,1,0,,{}
audit a candidate’s sales acumen,1,0,,{}
audit data analysis,1,0,,{}
audit geometallurgical block models,1,0,,{}
audit resource block models,1,0,,{}
augment core development workflows,1,0,,{}
automate and streamline the entire software delivery lifecycle,1,0,,{}
automate core development workflows,1,0,,{}
automate infrastructure,1,0,,{}
automate processes,1,1,6.0,"{""6"": 1}"
automate tasks,1,0,,{}
automate workflows,2,1,6.0,"{""6"": 1}"
back suggestions with analysis,1,1,5.0,"{""5"": 1}"
balance business goals with user trust,1,0,,{}
"balance commercial performance, thoughtful design, and community impact",1,0,,{}
balance front desk responsibilities with office support,1,1,2.0,"{""2"": 1}"
balance multiple deadlines,1,1,6.0,"{""6"": 1}"
be enthusiastic,1,0,,{}
be flexible in approach,1,0,,{}
be highly motivated,1,0,,{}
be mindful of reliability,1,0,,{}
be mindful of scalability,1,0,,{}
be proactive,1,0,,{}
be reliable,1,0,,{}
be responsible for automation,1,0,,{}
be responsible for observability,1,0,,{}
become an expert in JavaScript tooling,1,0,,{}
"blend creativity, curiosity, and user centered thinking",1,0,,{}
blend machine learning with design,1,0,,{}
bridge business and technology,1,0,,{}
"bridge data science, engineering, and product domains",1,1,8.0,"{""8"": 1}"
bridge the gap between technology and business,1,0,,{}
bring a product mindset to platform engineering,1,0,,{}
bring clarity through creative thinking,1,1,6.0,"{""6"": 1}"
bring clarity through structured thinking,1,1,6.0,"{""6"": 1}"
bring thoughtful product experiences to life,1,0,,{}
bring up hardware,1,1,6.0,"{""6"": 1}"
bring user insights into every stage of design,1,0,,{}
broaden perspectives,1,1,6.0,"{""6"": 1}"
build AI and robotics products,1,1,6.0,"{""6"": 1}"
build ML pipelines,1,1,6.0,"{""6"": 1}"
build Power BI reports,1,1,2.0,"{""2"": 1}"
build QA platform,1,1,6.0,"{""6"": 1}"
build SaaS ecommerce platform,1,1,6.0,"{""6"": 1}"
build a high-performing team,1,0,,{}
build a solid financial data foundation,1,1,6.0,"{""6"": 1}"
build a supportive environment,1,1,6.0,"{""6"": 1}"
build advanced artificial intelligence solutions,1,1,6.0,"{""6"": 1}"
build and enhance a modern data catalog and lineage platform,1,0,,{}
build and maintain effective working relationships,1,1,8.0,"{""8"": 1}"
"build and maintain tools, pipelines, and processes",1,0,,{}
build and nurture a pipeline of talent,1,0,,{}
build automation pipelines,1,0,,{}
build autonomous marine systems,1,0,,{}
build career in technical management,1,1,8.0,"{""8"": 1}"
build cloud infrastructure,1,0,,{}
build competency,1,0,,{}
build complex software,1,0,,{}
build consumer products,1,0,,{}
build creative features,1,1,6.0,"{""6"": 1}"
build customized reporting tools,1,1,5.0,"{""5"": 1}"
build dashboards,2,1,5.0,"{""5"": 1}"
build data pipelines,1,1,5.0,"{""5"": 1}"
build data stores,1,0,,{}
build deployment pipelines,1,0,,{}
build developer experience,1,0,,{}
build distributed systems,1,0,,{}
build enterprise data capability,1,0,,{}
build event-driven data platforms,1,0,,{}
build experiences,1,1,6.0,"{""6"": 1}"
build extensible systems,1,0,,{}
build financial data models,1,1,5.0,"{""5"": 1}"
build foundational infrastructure,1,1,6.0,"{""6"": 1}"
build foundations,1,0,,{}
build golden paths for developers,1,0,,{}
build high-performance mobile applications,1,0,,{}
build high-performance systems,1,0,,{}
build innovative responses,1,0,,{}
build intelligent systems,1,1,6.0,"{""6"": 1}"
build interfaces,1,0,,{}
build internally-used digital products,1,0,,{}
build large-scale SaaS and cloud services,1,0,,{}
build large-scale systems,2,1,6.0,"{""6"": 1}"
build lasting emotional connections,1,0,,{}
build monitoring systems,1,1,6.0,"{""6"": 1}"
build network infrastructure,1,0,,{}
build on existing foundational models,1,1,8.0,"{""8"": 1}"
build production-grade platforms,1,0,,{}
build products,1,0,,{}
build retrieval and evaluation capabilities,1,1,8.0,"{""8"": 1}"
build robust reconciliation/accounting systems,1,1,6.0,"{""6"": 1}"
build scalable and resilient networks,1,0,,{}
build scalable real-time data streaming platforms,1,0,,{}
build scalable systems,1,0,,{}
build service operations,1,0,,{}
build solid relationships with team members,1,0,,{}
build solutions for Business Data Quality (BDQ),1,0,,{}
build solutions for Data Catalog & Lineage,1,0,,{}
build solutions for Data Retention and Destruction,1,0,,{}
build solutions for Entitlements,1,0,,{}
build solutions for Technical Data Quality (TDQ),1,0,,{}
build strong relationships,1,1,6.0,"{""6"": 1}"
build strong teams,1,0,,{}
build strong working relationships,1,1,6.0,"{""6"": 1}"
build systems for B2B businesses,1,1,6.0,"{""6"": 1}"
build systems that run smoothly,1,0,,{}
build technology products,1,1,6.0,"{""6"": 1}"
"build things reliably, efficiently and cost-effectively",1,1,5.0,"{""5"": 1}"
build tools that aggregate and evaluate forecasts,1,1,8.0,"{""8"": 1}"
build tools to enable developers,1,1,9.0,"{""9"": 1}"
"build tools, dashboards and platform",1,1,6.0,"{""6"": 1}"
build trust and impact,1,0,,{}
build web applications,1,0,,{}
build with speed and intensity,1,0,,{}
build workflows,1,0,,{}
business partner with teams,1,0,,{}
capture video content,1,1,5.0,"{""5"": 1}"
celebrate successes,1,0,,{}
challenge and review designs,1,0,,{}
challenge assumptions,1,0,,{}
challenge constraints,1,1,6.0,"{""6"": 1}"
challenge hiring managers,1,0,,{}
champion a DevOps culture and practices,1,0,,{}
champion for a healthier planet,1,1,6.0,"{""6"": 1}"
champion information architecture best practices,1,0,,{}
champion leading-edge methodologies,1,0,,{}
champion world-class artistry,1,0,,{}
check dimensions and finish,1,1,2.0,"{""2"": 1}"
check final forms using gauges,1,1,2.0,"{""2"": 1}"
clear exams,1,0,,{}
coach team members,1,1,5.0,"{""5"": 1}"
code proficiently,1,1,5.0,"{""5"": 1}"
codify deep database expertise,1,0,,{}
"collaborate closely with co-founders, Geologist and Lead Metallurgist",1,0,,{}
collaborate closely with designers and strategists,1,0,,{}
collaborate cross-functionally,1,1,5.0,"{""5"": 1}"
collaborate deeply with data partners,1,0,,{}
collaborate effectively across all levels,1,1,6.0,"{""6"": 1}"
collaborate in a distributed team,1,1,5.0,"{""5"": 1}"
collaborate in a fast-moving environment,1,0,,{}
collaborate in a team environment,1,1,8.0,"{""8"": 1}"
collaborate with Product Owners,1,0,,{}
collaborate with UX researchers,1,0,,{}
