baseline_rank,demand_freq,mean_confidence,skill,skill_type,bloom_level,example_job_ids,demand_norm,priority_score_baseline
1,10,0.662,collaborate with team,Soft,Unknown,"['in-284b7cf30eb81914', 'in-368b730dfbfb2c56', 'in-4fac46ba90c4b16c', 'in-6c717e860c5e6516', 'in-75f30913de1b7459']",1.0,1.0
2,6,0.635,communicate effectively,Soft,Unknown,"['in-35e03ae1caff1780', 'in-361c0675a3147072', 'in-5a117bdee62644fa', 'in-92e57e0960d0c733', 'in-a93e72b7dcd9eafa']",0.6,0.6
3,6,0.6083333333333333,drive innovation,Soft,Apply,"['in-193d18c2574de4de', 'in-427c59728dce7b1c', 'in-753a69a3294291c7', 'in-9e8b8167a52cb05c', 'in-bc40d95a380aa266']",0.6,0.6
4,6,0.6215,solve problems,Soft,Unknown,"['in-35e03ae1caff1780', 'in-6c717e860c5e6516', 'in-8d007d54a6e9b3b3', 'in-9378455c1bb091a1', 'in-c795d5647c5b2fa6']",0.6,0.6
5,5,0.673,collaborate with cross-functional teams,Soft,Unknown,"['in-17826d4303fc4d24', 'in-35e03ae1caff1780', 'in-9da8b8c6e52feb61', 'in-b486754d4fef47b1', 'in-c537f69349c9b14d']",0.5,0.5
6,3,0.648,lead a team,Soft,Unknown,"['in-0e980950f025d235', 'in-35b0fd014582dbaf', 'in-6c717e860c5e6516']",0.3,0.3
7,3,0.6106666666666666,provide technical leadership,Soft,Apply,"['in-30af647e83a32e8c', 'in-9ae984f1f5d1226c', 'in-9da8b8c6e52feb61']",0.3,0.3
8,3,0.611,solve complex challenges,Soft,Unknown,"['in-6a0c6e81b38e7258', 'in-9e8b8167a52cb05c', 'in-bbad41219cc740ed']",0.3,0.3
9,3,0.6203333333333333,think critically,Soft,Unknown,"['in-6c717e860c5e6516', 'in-9378455c1bb091a1', 'in-ffcc36a373d8599a']",0.3,0.3
10,3,0.6243333333333333,work independently,Soft,Unknown,"['in-368b730dfbfb2c56', 'in-487df2b1087d73fa', 'in-ed82d490e0401f2c']",0.3,0.3
11,2,0.601,gather requirements,Hard,Apply,"['in-2343dce8f94f0a1c', 'in-4bd1ca2b1bfdfa6d']",0.2,0.2
12,2,0.617,grow professionally,Soft,Unknown,"['in-795392ba67b03cb2', 'in-9e8b8167a52cb05c']",0.2,0.2
13,2,0.627,communicate ideas,Soft,Unknown,"['in-6c717e860c5e6516', 'in-ffcc36a373d8599a']",0.2,0.2
14,2,0.71,ensure regulatory compliance,Hard,Analyze,"['in-bc0aa6df2d805b7b', 'in-ee0deef20dee727b']",0.2,0.2
15,2,0.6950000000000001,automate workflows,Hard,Create,"['in-21f3b05871873683', 'in-8d9ae454713adb22']",0.2,0.2
16,2,0.6925,analyze business processes,Hard,Analyze,"['in-c58b6cbd0462f519', 'in-fbb699e18d37f468']",0.2,0.2
17,2,0.6905,build dashboards,Hard,Create,"['in-4cf5479496e4301e', 'in-da1eee9312990cd0']",0.2,0.2
18,2,0.6990000000000001,create documentation,Hard,Create,"['in-4249d42ce8b49e38', 'in-5a117bdee62644fa']",0.2,0.2
19,2,0.613,adapt to change,Soft,Unknown,"['in-6c717e860c5e6516', 'in-ffcc36a373d8599a']",0.2,0.2
20,2,0.6555,manage projects,Hard,Apply,"['in-487df2b1087d73fa', 'in-4aae1652e7ec2129']",0.2,0.2
