Sektor,Indonesian Title,English Translation,Indonesian Description,English Description,Source Type
Teknologi Informasi dan Komunikasi,Cloud Engineer,Cloud Engineer,"Skema okupasi Cloud Engineer mencakup kompetensi dalam merancang, menyediakan, dan mengoperasikan infrastruktur cloud pada AWS, Google Cloud, Microsoft Azure, atau platform hybrid. Meliputi pemilihan layanan cloud, konfigurasi sumber daya komputasi dan jaringan, penerapan kontrol keamanan, otomatisasi deployment dengan infrastructure-as-code, monitoring biaya dan reliabilitas, serta integrasi komponen cloud dengan sistem on-premise.","The Cloud Engineer occupational role covers competencies in designing, provisioning, and operating cloud infrastructure on AWS, Google Cloud, Microsoft Azure, or hybrid platforms. It includes selecting cloud services, configuring compute and networking resources, implementing security controls, automating deployments with infrastructure-as-code, monitoring cost and reliability, and integrating cloud components with on-premises systems. Common skills include AWS Lambda, EC2, S3, VPC, IAM, Terraform, CloudFormation, GCP services, and Azure resources.",Community-defined (non-official) — covers gaps in current SKKNI ICT catalogue
Teknologi Informasi dan Komunikasi,Cloud Solutions Architect,Cloud Solutions Architect,"Skema okupasi Cloud Solutions Architect mencakup kompetensi merancang arsitektur cloud end-to-end yang memenuhi kebutuhan bisnis, keamanan, dan skalabilitas pada satu atau beberapa provider cloud (AWS, GCP, Azure). Meliputi definisi solution patterns, evaluasi trade-off antar layanan, perencanaan strategi migrasi dari on-premise ke cloud, kepastian compliance dengan kebijakan keamanan dan cost management, serta panduan teknis untuk tim engineering selama implementasi.","The Cloud Solutions Architect occupational role covers competencies in designing end-to-end cloud architectures that meet business, security, and scalability requirements across one or more cloud providers (AWS, GCP, Azure). It includes defining solution patterns, evaluating trade-offs between services, planning migration strategies from on-premises to cloud, ensuring compliance with security and cost-management policies, and guiding engineering teams through implementation. Multi-cloud and hybrid architectures are common.",Community-defined (non-official) — covers gaps in current SKKNI ICT catalogue
Teknologi Informasi dan Komunikasi,DevOps Engineer,DevOps Engineer,"Skema okupasi DevOps Engineer mencakup kompetensi otomatisasi software delivery pipelines (CI/CD), pengelolaan infrastructure-as-code dengan tools seperti Terraform atau Ansible, orkestrasi kontainer dengan Kubernetes atau Docker, monitoring sistem produksi, penerapan release strategies, serta kolaborasi antar tim development dan operations untuk meningkatkan deployment frequency dan reliabilitas.","The DevOps Engineer occupational role covers competencies in automating software delivery pipelines (CI/CD), managing infrastructure-as-code with tools such as Terraform or Ansible, orchestrating containers with Kubernetes or Docker, monitoring production systems, implementing release strategies, and collaborating across development and operations to improve deployment frequency and reliability. Common practices include GitOps, blue-green deployments, observability, and incident response.",Community-defined (non-official) — covers gaps in current SKKNI ICT catalogue
Teknologi Informasi dan Komunikasi,Site Reliability Engineer,Site Reliability Engineer,"Skema okupasi Site Reliability Engineer (SRE) mencakup kompetensi mengoperasikan sistem produksi skala besar dengan fokus pada reliabilitas, skalabilitas, dan observability. Meliputi definisi service-level objectives (SLO/SLI), otomatisasi operational toil, perancangan prosedur incident response, pembangunan observability via metrics/logs/traces, blameless postmortems, serta penerapan praktik software engineering untuk masalah infrastruktur.","The Site Reliability Engineer (SRE) occupational role covers competencies in operating large-scale production systems with a focus on reliability, scalability, and observability. It includes defining service-level objectives (SLOs/SLIs), automating operational toil, designing incident response procedures, building observability with metrics/logs/traces, conducting blameless postmortems, and applying software engineering practices to infrastructure problems. Overlaps with DevOps but emphasises long-running production health.",Community-defined (non-official) — covers gaps in current SKKNI ICT catalogue
Teknologi Informasi dan Komunikasi,Frontend Developer,Frontend Developer,"Skema okupasi Frontend Developer mencakup kompetensi membangun aplikasi web user-facing menggunakan framework JavaScript modern (React, Angular, Vue), HTML5, CSS3, dan prinsip responsive design. Meliputi implementasi UI berbasis komponen, pengelolaan client-side state, integrasi dengan REST atau GraphQL API, kepastian cross-browser compatibility, optimasi performance, dan penerapan standar accessibility (WCAG).","The Frontend Developer occupational role covers competencies in building user-facing web applications using modern JavaScript frameworks (React, Angular, Vue, Svelte), HTML5, CSS3, and responsive design principles. It includes implementing component-based UIs, managing client-side state, integrating with REST or GraphQL APIs, ensuring cross-browser compatibility, optimising performance, and applying accessibility (WCAG) standards. TypeScript adoption is common.",Community-defined (non-official) — covers gaps in current SKKNI ICT catalogue
Teknologi Informasi dan Komunikasi,Backend Developer,Backend Developer,"Skema okupasi Backend Developer mencakup kompetensi merancang dan mengimplementasikan logika aplikasi server-side, API, dan integrasi database menggunakan bahasa dan framework seperti Java, C#/.NET, ASP.NET, Python, Node.js, atau Go. Meliputi penulisan RESTful atau GraphQL API, penanganan authentication dan authorization, pengelolaan database transactions, optimasi query, serta integrasi dengan message queues, caching layers, dan external services.","The Backend Developer occupational role covers competencies in designing and implementing server-side application logic, APIs, and database integration using languages and frameworks such as Java, C#/.NET, ASP.NET, Python, Node.js, or Go. It includes writing RESTful or GraphQL APIs, handling authentication and authorisation, managing database transactions, optimising query performance, and integrating with message queues, caching layers, and external services. Microservices and event-driven patterns are common.",Community-defined (non-official) — covers gaps in current SKKNI ICT catalogue
Teknologi Informasi dan Komunikasi,Full-Stack Developer,Full-Stack Developer,"Skema okupasi Full-Stack Developer mencakup kompetensi membangun aplikasi web lengkap dari frontend hingga backend. Meliputi penggunaan framework JavaScript untuk UI (React, Angular), bahasa server-side untuk API (Node.js, Python, C#, Java), perancangan dan integrasi database (SQL atau NoSQL), penerapan authentication, deployment ke cloud, serta pengelolaan delivery end-to-end dari satu codebase.","The Full-Stack Developer occupational role covers competencies in building complete web applications across frontend and backend layers. It includes using JavaScript frameworks for UI (React, Angular), server-side languages for APIs (Node.js, Python, C#, Java), designing and integrating databases (SQL or NoSQL), implementing authentication, deploying to cloud, and managing end-to-end delivery from one codebase.",Community-defined (non-official) — covers gaps in current SKKNI ICT catalogue
Teknologi Informasi dan Komunikasi,Mobile Application Developer,Mobile Application Developer,"Skema okupasi Mobile Application Developer mencakup kompetensi membangun aplikasi mobile native atau cross-platform untuk Android (Kotlin, Java) dan iOS (Swift, Objective-C), atau dengan framework cross-platform seperti React Native atau Flutter. Meliputi implementasi UI mobile, pengelolaan application state, integrasi sensor dan API device, optimasi performance dan baterai, penanganan skenario offline-first, serta publikasi melalui app store.","The Mobile Application Developer occupational role covers competencies in building native or cross-platform mobile applications for Android (Kotlin, Java) and iOS (Swift, Objective-C), or with cross-platform frameworks such as React Native or Flutter. It includes implementing mobile UI patterns, managing application state, integrating device sensors and APIs, optimising for performance and battery, handling offline-first scenarios, and shipping through app stores.",Community-defined (non-official) — covers gaps in current SKKNI ICT catalogue
Teknologi Informasi dan Komunikasi,UI/UX Designer,UI/UX Designer,"Skema okupasi UI/UX Designer mencakup kompetensi melakukan riset kebutuhan pengguna, merancang interaction flow, prototyping antarmuka, penerapan systems thinking pada desain produk, dan kepastian accessibility lintas produk digital. Meliputi user research dan interview, information architecture, wireframing dan prototyping di tools seperti Figma, usability testing, penerapan design system, serta kolaborasi dengan developer dan tim produk.","The UI/UX Designer occupational role covers competencies in researching user needs, designing interaction flows, prototyping interfaces, applying systems thinking to product design, and ensuring accessibility across digital products. It includes user research and interviews, information architecture, wireframing and prototyping in tools such as Figma, conducting usability testing, applying design systems, and collaborating with developers and product teams. WCAG accessibility, design tokens, and interaction patterns are core skills.",Community-defined (non-official) — covers gaps in current SKKNI ICT catalogue
Teknologi Informasi dan Komunikasi,Machine Learning Engineer,Machine Learning Engineer,"Skema okupasi Machine Learning Engineer mencakup kompetensi merancang, melatih, dan mendeploy model machine learning untuk penggunaan produksi. Meliputi pemilihan algoritma dan arsitektur, persiapan training dataset, training dan evaluasi model menggunakan framework seperti TensorFlow atau PyTorch, optimasi inference model, pembangunan inference service dan API, serta monitoring performa model di produksi. Berbeda dari Data Scientist dengan fokus pada productionisation dan engineering.","The Machine Learning Engineer occupational role covers competencies in designing, training, and deploying machine learning models for production use. It includes selecting algorithms and architectures, preparing training datasets, training and evaluating models using frameworks such as TensorFlow or PyTorch, optimising model inference, building inference services and APIs, and monitoring model performance in production. Distinct from Data Scientist in its focus on productionisation, engineering rigour, and integration with broader software systems.",Community-defined (non-official) — covers gaps in current SKKNI ICT catalogue
