domain_id,future_domain,example_terms,trend_label,trend_score,source,horizon_year,trend_tier
WEF01,AI & Machine Learning,"machine learning, deep learning, generative AI, large language models, neural networks, MLOps, computer vision, NLP, transformers, PyTorch, TensorFlow, reinforcement learning, natural language processing, predictive analytics, automated decision systems",Strong_Growth,1.0,WEF_FutureOfJobs_2025,2030,Strong_Growth
WEF02,Big Data & Analytics,"data analytics, data engineering, business intelligence, data visualization, statistical modeling, data pipelines, data warehousing, ETL, Spark, Hadoop, data lakes, KPI dashboards, A/B testing, quantitative analysis, data science",Strong_Growth,0.9,WEF_FutureOfJobs_2025,2030,Strong_Growth
WEF03,Networks & Cybersecurity,"cybersecurity, information security, penetration testing, threat intelligence, zero trust, SOC, incident response, encryption, vulnerability assessment, SIEM, firewall, malware analysis, compliance audit, security operations, digital forensics, network engineering, network protocols, TCP/IP, routing, switching, SD-WAN, network monitoring, intrusion detection, IPS, IDS, network architecture",Strong_Growth,0.9,WEF_FutureOfJobs_2025,2030,Strong_Growth
WEF04,Cloud Computing & Infrastructure,"cloud computing, kubernetes, docker, AWS, Azure, GCP, terraform, infrastructure as code, CI/CD, DevOps, container orchestration, serverless, load balancing, auto-scaling, cloud migration",Strong_Growth,0.85,WEF_FutureOfJobs_2025,2030,Strong_Growth
WEF05,Digital Platforms & E-commerce,"e-commerce, digital marketing, platform engineering, marketplace, fintech, digital payments, SaaS, omnichannel, conversion optimization, customer analytics, subscription models, API monetization",Moderate_Growth,0.7,WEF_FutureOfJobs_2025,2030,Moderate_Growth
WEF06,Environmental & Sustainability Technology,"green technology, sustainable computing, energy efficiency, smart grids, environmental monitoring, carbon footprint, renewable energy, circular economy, ESG metrics, lifecycle assessment, clean tech, environmental stewardship",Moderate_Growth,0.6,WEF_FutureOfJobs_2025,2035,Moderate_Growth
WEF07,Human-AI Collaboration,"prompt engineering, AI-assisted coding, copilot, human-in-the-loop, explainable AI, AI ethics, responsible AI, augmented intelligence, decision support, AI governance, collaborative automation, AI fluency",Strong_Growth,0.95,WEF_FutureOfJobs_2025,2030,Strong_Growth
WEF08,Technological Literacy & Digital Fluency,"technological literacy, digital fluency, digital tools, digital transformation, technology adoption, tech-savviness, information literacy, digital citizenship, digital problem-solving, ICT skills, computational thinking",Strong_Growth,0.85,WEF_FutureOfJobs_2025,2030,Strong_Growth
ONET01,Software Development & Engineering,"software engineering, full-stack development, API design, microservices, agile, scrum, version control, testing, debugging, REST APIs, GraphQL, code review, refactoring, design patterns, clean architecture",Moderate_Growth,0.65,ONET_BrightOutlook_2024,2034,Moderate_Growth
ONET02,Database & Systems Administration,"database administration, SQL, PostgreSQL, MongoDB, system administration, Linux, networking, backup, monitoring, Redis, indexing, query optimization, replication, disaster recovery",Moderate_Growth,0.5,ONET_BrightOutlook_2024,2034,Moderate_Growth
