job_id,date_posted,skill,type,bloom,confidence_score,confidence_tier,source,semantic_density,context_agreement,sentence_id,sentence_text
in-0bba1f3fa07f6e6c,,"solve the most complex, high -impact hardware performance challenges",Hard,,0.9,Very High,skill_llm_8b_lora_v1,1.0,1.0,in-0bba1f3fa07f6e6c_0001,"DESCRIPTION - Join Amazon Robotics (AR) Problem Management team to solve the most complex, high -impact hardware performance challenges that keep our fulfillment centers running at peak efficiency."
in-0bba1f3fa07f6e6c,,technical force multiplier,Hard,,0.9,Very High,skill_llm_8b_lora_v1,1.0,1.0,in-0bba1f3fa07f6e6c_0002,"As a Senior Support Engineer, you'll be the technical force multiplier who transforms one -time fixes into scalable solutions that protect our robotics infrastructure across the network."
in-0bba1f3fa07f6e6c,,transforms one -time fixes into scalable solutions,Hard,,0.9,Very High,skill_llm_8b_lora_v1,1.0,1.0,in-0bba1f3fa07f6e6c_0002,"As a Senior Support Engineer, you'll be the technical force multiplier who transforms one -time fixes into scalable solutions that protect our robotics infrastructure across the network."
in-79b1a44b8766f461,,innovative,Hard,,0.9,Very High,skill_llm_8b_lora_v1,1.0,1.0,in-79b1a44b8766f461_0002,"We are looking for highly talented, innovative, teamwork -oriented individuals for our cutting -edge technology work! Our Mission We are dedicated to transforming the industry by reimagining silicon and developing next -generation computing platforms."
in-79b1a44b8766f461,,teamwork -oriented,Hard,,0.9,Very High,skill_llm_8b_lora_v1,1.0,1.0,in-79b1a44b8766f461_0002,"We are looking for highly talented, innovative, teamwork -oriented individuals for our cutting -edge technology work! Our Mission We are dedicated to transforming the industry by reimagining silicon and developing next -generation computing platforms."
in-79b1a44b8766f461,,"collaborate with the platform team and various cross -functional teams,",Hard,,0.9,Very High,skill_llm_8b_lora_v1,1.0,1.0,in-79b1a44b8766f461_0004,"Our focus is on developing reference platforms based on Qualcomm's Snapdragon SoC, delivering a comprehensive solution that includes hardware, software, reference designs, user guides, SDKs, and more. Position: Hardware Board Design Engineer As an experienced Hardware Board Design Engineer (individual contributor), you will collaborate with the platform team and various cross -functional teams, including software, firmware, packaging, SIPI, product management, and component suppliers."
in-26b5e64ecb5e6cb2,,solution -oriented,Hard,,0.9,Very High,skill_llm_8b_lora_v1,1.0,1.0,in-26b5e64ecb5e6cb2_0004,"We believe that everyone has the right to own and control their data, and we are committed to creating a trusted digital credentials ecosystem that empowers businesses and individuals to securely exchange data and services across borders and industries. About the role: We are in search of a solution -oriented Senior Software Engineer (Backend) with demonstrable experience in Rust, to help guide the development of secure, scalable, and high -performance backend systems for the Affinidi Elements platform."
in-26b5e64ecb5e6cb2,,"guide the development of secure, scalable, and high -performance backend systems",Hard,,0.9,Very High,skill_llm_8b_lora_v1,1.0,1.0,in-26b5e64ecb5e6cb2_0004,"We believe that everyone has the right to own and control their data, and we are committed to creating a trusted digital credentials ecosystem that empowers businesses and individuals to securely exchange data and services across borders and industries. About the role: We are in search of a solution -oriented Senior Software Engineer (Backend) with demonstrable experience in Rust, to help guide the development of secure, scalable, and high -performance backend systems for the Affinidi Elements platform."
in-26b5e64ecb5e6cb2,,delivering a multi -component platform,Hard,,0.9,Very High,skill_llm_8b_lora_v1,1.0,1.0,in-26b5e64ecb5e6cb2_0006,"Your responsibilities will include delivering a multi -component platform, leveraging your experience in helping to design and developing production -quality systems."
in-26b5e64ecb5e6cb2,,helping to design and developing production -quality systems,Hard,,0.9,Very High,skill_llm_8b_lora_v1,1.0,1.0,in-26b5e64ecb5e6cb2_0006,"Your responsibilities will include delivering a multi -component platform, leveraging your experience in helping to design and developing production -quality systems."
in-079fa62336e07385,,take features end to end,Hard,,0.9,Very High,skill_llm_8b_lora_v1,1.0,1.0,in-079fa62336e07385_0005,"You’ll take features end to end, from design to code to deploy to iterate, across our case management product, vendor integrations, orchestration APIs, and customer facing tools."
in-079fa62336e07385,,deploy to iterate,Hard,,0.9,Very High,skill_llm_8b_lora_v1,1.0,1.0,in-079fa62336e07385_0005,"You’ll take features end to end, from design to code to deploy to iterate, across our case management product, vendor integrations, orchestration APIs, and customer facing tools."
in-079fa62336e07385,,"turning messy real world compliance problems into clean, reliable systems.",Hard,,0.9,Very High,skill_llm_8b_lora_v1,1.0,1.0,in-079fa62336e07385_0006,"You’ll be in the trenches with founders and a fast moving team, turning messy real world compliance problems into clean, reliable systems."
in-079fa62336e07385,,deliver high -quality features,Hard,,0.9,Very High,skill_llm_8b_lora_v1,1.0,1.0,in-079fa62336e07385_0009,"You'll work directly with our product, and engineering teams to deliver high -quality features that help global fintechs fight financial crime."
in-3a7a95dccd46c43e,,work within secure environments,Hard,,0.9,Very High,skill_llm_8b_lora_v1,1.0,1.0,in-3a7a95dccd46c43e_0002,"You’ll work within secure environments and collaborate with product owners, security engineers, and stakeholders to deliver reliable, secure, and scalable software—improving how DOJ teams protect the nation and deliver justice."
in-3a7a95dccd46c43e,,"deliver reliable, secure, and scalable software—",Hard,,0.9,Very High,skill_llm_8b_lora_v1,1.0,1.0,in-3a7a95dccd46c43e_0002,"You’ll work within secure environments and collaborate with product owners, security engineers, and stakeholders to deliver reliable, secure, and scalable software—improving how DOJ teams protect the nation and deliver justice."
in-3a7a95dccd46c43e,,improving how DOJ teams protect the nation and deliver justice.,Hard,,0.9,Very High,skill_llm_8b_lora_v1,1.0,1.0,in-3a7a95dccd46c43e_0002,"You’ll work within secure environments and collaborate with product owners, security engineers, and stakeholders to deliver reliable, secure, and scalable software—improving how DOJ teams protect the nation and deliver justice."
in-0bba5604e1a0eace,,manual accessibility testing,Hard,,0.9,Very High,skill_llm_8b_lora_v1,1.0,1.0,in-0bba5604e1a0eace_0003,"This position involves extensive manual accessibility testing of digital assets and collaboration with cross -functional teams such as website administrators, developers, platform engineers, and digital asset managers to support remediation efforts."
in-0bba5604e1a0eace,,collaboration with cross -functional teams,Hard,,0.9,Very High,skill_llm_8b_lora_v1,1.0,1.0,in-0bba5604e1a0eace_0003,"This position involves extensive manual accessibility testing of digital assets and collaboration with cross -functional teams such as website administrators, developers, platform engineers, and digital asset managers to support remediation efforts."
in-0bba5604e1a0eace,,support remediation efforts.,Hard,,0.9,Very High,skill_llm_8b_lora_v1,1.0,1.0,in-0bba5604e1a0eace_0003,"This position involves extensive manual accessibility testing of digital assets and collaboration with cross -functional teams such as website administrators, developers, platform engineers, and digital asset managers to support remediation efforts."
in-0bba5604e1a0eace,,analyze accessibility issues,Hard,,0.9,Very High,skill_llm_8b_lora_v1,1.0,1.0,in-0bba5604e1a0eace_0004,"The tester will analyze accessibility issues, communicate findings, and assist teams in implementing best practice solutions."
in-0bba5604e1a0eace,,communicate findings,Hard,,0.9,Very High,skill_llm_8b_lora_v1,1.0,1.0,in-0bba5604e1a0eace_0004,"The tester will analyze accessibility issues, communicate findings, and assist teams in implementing best practice solutions."
in-0bba5604e1a0eace,,assist teams in implementing best practice solutions,Hard,,0.9,Very High,skill_llm_8b_lora_v1,1.0,1.0,in-0bba5604e1a0eace_0004,"The tester will analyze accessibility issues, communicate findings, and assist teams in implementing best practice solutions."
in-0bba5604e1a0eace,,deliver results under project deadlines.,Hard,,0.9,Very High,skill_llm_8b_lora_v1,1.0,1.0,in-0bba5604e1a0eace_0005,"This role requires strong QA practices, accessibility expertise, and the ability to deliver results under project deadlines."
in-0bba5604e1a0eace,,Collaboration and Communication,Hard,,0.9,Very High,skill_llm_8b_lora_v1,1.0,1.0,in-0bba5604e1a0eace_0010,"Collaboration and Communication Communicate testing findings and remediation guidance to technical and non -technical stakeholders. Provide updates to accessibility leadership on testing progress, challenges, and outcomes. Work collaboratively with developers, engineers, and product teams to resolve accessibility issues. Establish strong working relationships across multiple teams to support accessibility initiatives."
in-0bba5604e1a0eace,,Communicate testing findings and remediation guidance,Hard,,0.9,Very High,skill_llm_8b_lora_v1,1.0,1.0,in-0bba5604e1a0eace_0010,"Collaboration and Communication Communicate testing findings and remediation guidance to technical and non -technical stakeholders. Provide updates to accessibility leadership on testing progress, challenges, and outcomes. Work collaboratively with developers, engineers, and product teams to resolve accessibility issues. Establish strong working relationships across multiple teams to support accessibility initiatives."
in-0bba5604e1a0eace,,Provide updates to accessibility leadership,Hard,,0.9,Very High,skill_llm_8b_lora_v1,1.0,1.0,in-0bba5604e1a0eace_0010,"Collaboration and Communication Communicate testing findings and remediation guidance to technical and non -technical stakeholders. Provide updates to accessibility leadership on testing progress, challenges, and outcomes. Work collaboratively with developers, engineers, and product teams to resolve accessibility issues. Establish strong working relationships across multiple teams to support accessibility initiatives."
in-0bba5604e1a0eace,,"Work collaboratively with developers, engineers, and product teams",Hard,,0.9,Very High,skill_llm_8b_lora_v1,1.0,1.0,in-0bba5604e1a0eace_0010,"Collaboration and Communication Communicate testing findings and remediation guidance to technical and non -technical stakeholders. Provide updates to accessibility leadership on testing progress, challenges, and outcomes. Work collaboratively with developers, engineers, and product teams to resolve accessibility issues. Establish strong working relationships across multiple teams to support accessibility initiatives."
in-0bba5604e1a0eace,,Establish strong working relationships,Hard,,0.9,Very High,skill_llm_8b_lora_v1,1.0,1.0,in-0bba5604e1a0eace_0010,"Collaboration and Communication Communicate testing findings and remediation guidance to technical and non -technical stakeholders. Provide updates to accessibility leadership on testing progress, challenges, and outcomes. Work collaboratively with developers, engineers, and product teams to resolve accessibility issues. Establish strong working relationships across multiple teams to support accessibility initiatives."
in-0bba5604e1a0eace,,support accessibility initiatives.,Hard,,0.9,Very High,skill_llm_8b_lora_v1,1.0,1.0,in-0bba5604e1a0eace_0010,"Collaboration and Communication Communicate testing findings and remediation guidance to technical and non -technical stakeholders. Provide updates to accessibility leadership on testing progress, challenges, and outcomes. Work collaboratively with developers, engineers, and product teams to resolve accessibility issues. Establish strong working relationships across multiple teams to support accessibility initiatives."
in-204d322276e64487,,Designs and develops software solutions,Hard,,0.9,Very High,skill_llm_8b_lora_v1,1.0,1.0,in-204d322276e64487_0001,Position: = Applications Engineer Job Description: = What You’ll Be Doing: Designs and develops software solutions to meet business requirements.
in-204d322276e64487,,Manages full software development life cycle,Hard,,0.9,Very High,skill_llm_8b_lora_v1,1.0,1.0,in-204d322276e64487_0002,"Manages full software development life cycle including testing, implementation, and auditing."
in-204d322276e64487,,research and analysis.,Hard,,0.9,Very High,skill_llm_8b_lora_v1,1.0,1.0,in-204d322276e64487_0003,"Performs product design, bug verification, and beta support, which may require research and analysis."
in-204d322276e64487,,"Execute, assess, and troubleshoot software programs and applications.",Hard,,0.9,Very High,skill_llm_8b_lora_v1,1.0,1.0,in-204d322276e64487_0005,"Usually reports to the Manager of Software Development. Execute, assess, and troubleshoot software programs and applications."
in-204d322276e64487,,Analyze and amend software errors,Hard,,0.9,Very High,skill_llm_8b_lora_v1,1.0,1.0,in-204d322276e64487_0006,"Analyze and amend software errors in a timely and accurate fashion. Coding, developing, and documenting software specifications throughout the project life cycle."
