skill,kkni_level,n_jobs,share
abstract the complexity of the data layer,,0,0.0
accomplish critical missions and objectives,,0,0.0
accomplish sustainable vision,6.0,1,1.0
achieve transformational healthcare improvement,6.0,1,1.0
act as a bridge between teams,,0,0.0
act as a strategic advisor,,0,0.0
act as expert for system admins and engineers,6.0,1,1.0
act as lead,5.0,1,1.0
act fearlessly,6.0,1,1.0
act independently,6.0,1,1.0
act with intention,,0,0.0
adapt approach to activities and customers,,0,0.0
adapt inform/awareness materials to customer needs,5.0,1,1.0
adapt inform/awareness materials to local language,5.0,1,1.0
adapt makeup style to different customers,,0,0.0
adapt quickly when priorities change,,0,0.0
adapt to a varying work schedule due to events,2.0,1,1.0
adapt to change,6.0,1,1.0
adapt to pace of change,5.0,1,1.0
address issues related to outstanding payments,,0,0.0
address labor shortages,6.0,1,1.0
address rising costs,6.0,1,1.0
address routine office issues,2.0,1,1.0
adhere to industry standards,6.0,1,1.0
"adhere to policy, procedures and controls",6.0,1,1.0
adhere to protocols,6.0,1,1.0
adhere to safety standards,6.0,1,1.0
adjust and be flexible to change,,0,0.0
administer accounting procedures,,0,0.0
administer candidate profiles,2.0,1,1.0
administer general office procedures,,0,0.0
administer program procedures,,0,0.0
adopt and test new features early on,,0,0.0
advance career in B2B software sales,,0,0.0
advance careers,,0,0.0
"advance lexical, vector, and hybrid retrieval systems",8.0,1,1.0
advance performance analysis and tuning for GPUs,9.0,1,1.0
advise on technology support,,0,0.0
align IT processes and procedures,2.0,1,1.0
align resources to outcomes,6.0,1,1.0
align stakeholders,,0,0.0
allocate space and power,2.0,1,1.0
allow developers to monitor databases,,0,0.0
allow developers to scale databases,,0,0.0
allow developers to spin up databases,,0,0.0
analyse complex datasets,6.0,1,1.0
analyse workflows,,0,0.0
analyze and debug web applications,6.0,1,1.0
analyze business and technical requirements,6.0,1,1.0
analyze business challenges,6.0,1,1.0
analyze business data,8.0,1,1.0
analyze business processes,,0,0.0
analyze clinical documents,,0,0.0
analyze data,,0,0.0
analyze frameworks,6.0,1,1.0
analyze iOS apps,6.0,1,1.0
analyze monthly financial results,6.0,1,1.0
analyze pharmacy operations data,8.0,1,1.0
analyze potential impact on recovery capabilities,2.0,1,1.0
analyze requirements,,0,0.0
analyze software for defects,2.0,1,1.0
analyze solution options,6.0,1,1.0
analyze systems,6.0,1,1.0
analyze user generated content,,0,0.0
answer and route incoming calls and emails,2.0,1,1.0
apply AI to asset-intensive environments,6.0,1,1.0
apply AI to tackle challenges,9.0,1,1.0
apply DevOps practices,,0,0.0
apply Security Technical Implementation Guides (STIGs),6.0,1,1.0
apply advanced statistical methods,8.0,1,1.0
apply agent-based architectures to asset-intensive environments,6.0,1,1.0
"apply basic principles, theories, and concepts",6.0,1,1.0
apply best practices for indexing,,0,0.0
apply best practices for schema design,,0,0.0
apply best practices for security configurations,,0,0.0
apply construction regulations,,0,0.0
apply core skills across deployment platforms,,0,0.0
apply customer configurations,6.0,1,1.0
apply expert insights to customer problems,5.0,1,1.0
apply for roles,,0,0.0
apply knowledge of compute programming models and compute architecture,9.0,1,1.0
apply machine learning to asset-intensive environments,6.0,1,1.0
apply makeup,,0,0.0
apply methodical approach,,0,0.0
apply qualitative and quantitative data to inform decisions,,0,0.0
apply residential construction practices,,0,0.0
apply skills beyond formal role boundaries,6.0,1,1.0
apply temporal smoothing,8.0,1,1.0
apply theoretical knowledge,6.0,1,1.0
approach problems creatively and collaboratively,6.0,1,1.0
architect AI factories,,0,0.0
architect APIs and orchestration layers,6.0,1,1.0
architect a modern data platform,,0,0.0
"architect and build polished, cross-platform mobile experiences",,0,0.0
architect high-performance mobile applications,,0,0.0
articulate a compelling case for a technology,,0,0.0
articulate a compelling case for an architectural approach,,0,0.0
assess candidates on specific deal mechanics,,0,0.0
assess user projects,6.0,1,1.0
assist customers in expanding SAP footprint,3.0,1,1.0
assist in building a design system,6.0,1,1.0
assist in development and maintenance of efficient systems,8.0,1,1.0
assist in preparation of capital appropriation requests,6.0,1,1.0
assist in preparation of forecasts,6.0,1,1.0
assist in preparation of operations reviews,6.0,1,1.0
assist in preparation of profit plans,6.0,1,1.0
assist students with audio hardware questions,2.0,1,1.0
assist students with audio software questions,2.0,1,1.0
assist with REB applications,,0,0.0
assist with budget preparation,2.0,1,1.0
assist with creation of local inform/awareness materials,5.0,1,1.0
assist with deployments,,0,0.0
assist with employee workspace setup,2.0,1,1.0
assist with grant applications,,0,0.0
assist with office coordination,2.0,1,1.0
assist with planning office-wide processes,2.0,1,1.0
assist with running vulnerability scans,6.0,1,1.0
assist with scheduling vulnerability scans,6.0,1,1.0
attend seminars,,0,0.0
attend trainings,,0,0.0
attend walk-through meetings,2.0,1,1.0
attract skilled professionals,,0,0.0
audit a candidate’s sales acumen,,0,0.0
audit data analysis,,0,0.0
audit geometallurgical block models,,0,0.0
audit resource block models,,0,0.0
augment core development workflows,,0,0.0
automate and streamline the entire software delivery lifecycle,,0,0.0
automate core development workflows,,0,0.0
automate infrastructure,,0,0.0
automate processes,6.0,1,1.0
automate tasks,,0,0.0
automate workflows,6.0,1,1.0
back suggestions with analysis,5.0,1,1.0
balance business goals with user trust,,0,0.0
"balance commercial performance, thoughtful design, and community impact",,0,0.0
balance front desk responsibilities with office support,2.0,1,1.0
balance multiple deadlines,6.0,1,1.0
be enthusiastic,,0,0.0
be flexible in approach,,0,0.0
be highly motivated,,0,0.0
be mindful of reliability,,0,0.0
be mindful of scalability,,0,0.0
be proactive,,0,0.0
be reliable,,0,0.0
be responsible for automation,,0,0.0
be responsible for observability,,0,0.0
become an expert in JavaScript tooling,,0,0.0
"blend creativity, curiosity, and user centered thinking",,0,0.0
blend machine learning with design,,0,0.0
bridge business and technology,,0,0.0
"bridge data science, engineering, and product domains",8.0,1,1.0
bridge the gap between technology and business,,0,0.0
bring a product mindset to platform engineering,,0,0.0
bring clarity through creative thinking,6.0,1,1.0
bring clarity through structured thinking,6.0,1,1.0
bring thoughtful product experiences to life,,0,0.0
bring up hardware,6.0,1,1.0
bring user insights into every stage of design,,0,0.0
broaden perspectives,6.0,1,1.0
build AI and robotics products,6.0,1,1.0
build ML pipelines,6.0,1,1.0
build Power BI reports,2.0,1,1.0
build QA platform,6.0,1,1.0
build SaaS ecommerce platform,6.0,1,1.0
build a high-performing team,,0,0.0
build a solid financial data foundation,6.0,1,1.0
build a supportive environment,6.0,1,1.0
build advanced artificial intelligence solutions,6.0,1,1.0
build and enhance a modern data catalog and lineage platform,,0,0.0
build and maintain effective working relationships,8.0,1,1.0
"build and maintain tools, pipelines, and processes",,0,0.0
build and nurture a pipeline of talent,,0,0.0
build automation pipelines,,0,0.0
build autonomous marine systems,,0,0.0
build career in technical management,8.0,1,1.0
build cloud infrastructure,,0,0.0
build competency,,0,0.0
build complex software,,0,0.0
build consumer products,,0,0.0
build creative features,6.0,1,1.0
build customized reporting tools,5.0,1,1.0
build dashboards,5.0,1,1.0
build data pipelines,5.0,1,1.0
build data stores,,0,0.0
build deployment pipelines,,0,0.0
build developer experience,,0,0.0
build distributed systems,,0,0.0
build enterprise data capability,,0,0.0
build event-driven data platforms,,0,0.0
build experiences,6.0,1,1.0
build extensible systems,,0,0.0
build financial data models,5.0,1,1.0
build foundational infrastructure,6.0,1,1.0
build foundations,,0,0.0
build golden paths for developers,,0,0.0
build high-performance mobile applications,,0,0.0
build high-performance systems,,0,0.0
build innovative responses,,0,0.0
build intelligent systems,6.0,1,1.0
build interfaces,,0,0.0
build internally-used digital products,,0,0.0
build large-scale SaaS and cloud services,,0,0.0
build large-scale systems,6.0,1,1.0
build lasting emotional connections,,0,0.0
build monitoring systems,6.0,1,1.0
build network infrastructure,,0,0.0
build on existing foundational models,8.0,1,1.0
build production-grade platforms,,0,0.0
build products,,0,0.0
build retrieval and evaluation capabilities,8.0,1,1.0
build robust reconciliation/accounting systems,6.0,1,1.0
build scalable and resilient networks,,0,0.0
build scalable real-time data streaming platforms,,0,0.0
build scalable systems,,0,0.0
build service operations,,0,0.0
build solid relationships with team members,,0,0.0
build solutions for Business Data Quality (BDQ),,0,0.0
build solutions for Data Catalog & Lineage,,0,0.0
build solutions for Data Retention and Destruction,,0,0.0
build solutions for Entitlements,,0,0.0
build solutions for Technical Data Quality (TDQ),,0,0.0
build strong relationships,6.0,1,1.0
build strong teams,,0,0.0
build strong working relationships,6.0,1,1.0
build systems for B2B businesses,6.0,1,1.0
build systems that run smoothly,,0,0.0
build technology products,6.0,1,1.0
"build things reliably, efficiently and cost-effectively",5.0,1,1.0
build tools that aggregate and evaluate forecasts,8.0,1,1.0
build tools to enable developers,9.0,1,1.0
"build tools, dashboards and platform",6.0,1,1.0
build trust and impact,,0,0.0
build web applications,,0,0.0
build with speed and intensity,,0,0.0
build workflows,,0,0.0
business partner with teams,,0,0.0
capture video content,5.0,1,1.0
celebrate successes,,0,0.0
challenge and review designs,,0,0.0
challenge assumptions,,0,0.0
challenge constraints,6.0,1,1.0
challenge hiring managers,,0,0.0
champion a DevOps culture and practices,,0,0.0
champion for a healthier planet,6.0,1,1.0
champion information architecture best practices,,0,0.0
champion leading-edge methodologies,,0,0.0
champion world-class artistry,,0,0.0
check dimensions and finish,2.0,1,1.0
check final forms using gauges,2.0,1,1.0
clear exams,,0,0.0
coach team members,5.0,1,1.0
code proficiently,5.0,1,1.0
codify deep database expertise,,0,0.0
"collaborate closely with co-founders, Geologist and Lead Metallurgist",,0,0.0
collaborate closely with designers and strategists,,0,0.0
collaborate cross-functionally,5.0,1,1.0
collaborate deeply with data partners,,0,0.0
collaborate effectively across all levels,6.0,1,1.0
collaborate in a distributed team,5.0,1,1.0
collaborate in a fast-moving environment,,0,0.0
collaborate in a team environment,8.0,1,1.0
collaborate with Product Owners,,0,0.0
collaborate with UX researchers,,0,0.0
collaborate with a global team,6.0,1,1.0
collaborate with a multi-disciplinary team,6.0,1,1.0
collaborate with a team,,0,0.0
collaborate with backend teams,,0,0.0
collaborate with cross-functional teams,5.0,1,0.25
collaborate with cross-functional teams,6.0,1,0.25
collaborate with cross-functional teams,8.0,2,0.5
collaborate with design teams,,0,0.0
collaborate with distributed team,6.0,1,1.0
collaborate with diverse teams,,0,0.0
collaborate with engineering team on scaling,,0,0.0
"collaborate with engineers, product managers, designers, collaborators, partners",6.0,1,1.0
collaborate with internal teams,6.0,1,1.0
collaborate with interns,6.0,1,1.0
collaborate with others,,0,0.0
collaborate with product managers and engineers,6.0,1,1.0
collaborate with product teams,,0,0.0
collaborate with stakeholders,5.0,1,1.0
collaborate with team,6.0,4,0.8
collaborate with team,9.0,1,0.2
collaborate with team and offer feedback,,0,0.0
collaborate with teams,9.0,1,1.0
collect complex datasets,6.0,1,1.0
combine portfolio with partner technologies,6.0,1,1.0
combine strategic thinking with operational delivery,,0,0.0
commit to multiple courses,,0,0.0
communicate about applications,2.0,1,1.0
communicate clearly and effectively with guests,2.0,1,1.0
communicate clearly and effectively with management,2.0,1,1.0
communicate clearly and effectively with team members,2.0,1,1.0
communicate corrective actions to leadership,6.0,1,1.0
communicate effectively,2.0,1,0.3333
communicate effectively,8.0,1,0.3333
communicate effectively,9.0,1,0.3333
communicate ideas,6.0,1,1.0
communicate in English,,0,0.0
communicate results,2.0,1,1.0
communicate risk-based recommendations,6.0,1,1.0
communicate strongly,2.0,1,1.0
communicate with empathy,6.0,1,1.0
communicate with precision,6.0,1,1.0
communicate with technical leaders,6.0,1,1.0
complete projects with a team-first approach,,0,0.0
comply with health and safety measures,,0,0.0
conceptualize AI integration,,0,0.0
conduct customer discovery,,0,0.0
conduct deep-dive competency interviews,,0,0.0
conduct experiment analyses,,0,0.0
conduct technical peer reviews,,0,0.0
configure Intune compliance policies,,0,0.0
configure Intune configuration profiles,,0,0.0
configure Intune security baselines,,0,0.0
configure Jenkins,,0,0.0
configure Windows Update for Business via Intune,,0,0.0
configure industrial processes,6.0,1,1.0
connect building operations data,,0,0.0
connect financial systems,,0,0.0
connect property management systems,,0,0.0
connect tenant platforms,,0,0.0
construct platform and sub-systems,6.0,1,1.0
context switch across multiple projects,6.0,1,1.0
"continuously improve build tooling, developer workflows, and infrastructure",,0,0.0
continuously improve processes to support scalability,,0,0.0
continuously improve the developer experience,,0,0.0
contribute innovative solutions,6.0,1,1.0
contribute specialist expertise,6.0,1,1.0
